QUEST_LV_0200_20150317_000001	Philipas' Soldier	Philip's Soldiers
QUEST_LV_0200_20150317_002423	You've defeated Gargoyle as Graverobber Amanda requested to you. Return to her and let's talk about what to do next.	Kamu mengalahkan Gargoyles sesuai permintaan Amanda padamu. Kembalilah pada Amanda dan tanyalah apa yang selanjutnya harus dilakukan.
QUEST_LV_0200_20150317_002424	Talk to Knight Titas	Temui Knight Titas
QUEST_LV_0200_20150317_002425	After reading the notice to recruit more soldiers, you feel like you should help. Talk to Knight Titas at West Siauliai Woods.	Setelah membaca pengumuman perekrutan soldier, kamu merasa harus membantu. Bicara pada knight, Titas di sebelah barat forest of Siaulai.
QUEST_LV_0200_20150317_002426	Defeat the monsters at Soul Peak	Kalahkan monsters di hills of the spirits
QUEST_LV_0200_20150317_002427	Knight Titas told you to help Julian squad who is trying to march forward between Soul Peak and the gateway of great king. Destroy 100 monsters in Soul Peak.	Sang Knight Titas memintamu untuk membantu Julian squad yang sedang menuju area antara hills of the spirits dan the gateway of great king. Hancurkan 100 monster pada hills of the spirits.
QUEST_LV_0200_20150317_002428	Report to Commander Julian	Laporkan kepada Commander, Julian
QUEST_LV_0200_20150317_002429	You've defeated many monsters on Soul Peak. Report to Commander Julian.	Kamu mengalahkan banyak monster di hills of the spirits. Laporkan kepada commander, Julian.
QUEST_LV_0200_20150317_002430	Defeat the monsters at Soul Peak	Kalahkan monsters pada the hills of the spirits
QUEST_LV_0200_20150317_002431	Talk to Villager Darren	Bicara dengan villager, Daren
QUEST_LV_0200_20150317_002432	Darren seems to be puzzled. Listen to him.	Daren sepertinya sedanmg kebingungan. Dengarkan cerita darinya.
QUEST_LV_0200_20150317_002433	Check the beehives at Rododun Apiary	Periksalah bee houses di Rodonon Apiary
QUEST_LV_0200_20150317_002434	Darren is worried about whether his beehives at Rododun Apiary are okay after they were attacked by monsters. Go to Rododun Apiary and check whether the beehives are okay.	Daren khawatir apakah bee houses baik-baik saja di Rodonon Apiary setelah diserang oleh monster. Pergilah ke Rodonon Apiary dan selidikilah keadaan bee houses.
QUEST_LV_0200_20150317_002435	Fortunately, the beehives are okay. Return to Villager Darren and let him know about this.	Untungnya, the bee houses aman. Kembali ke Daren dan beritahulah padanya.
QUEST_LV_0200_20150317_002436	The beehives at Rododun Apiary are okay, but we should do something to them. Talk to the relieved Villager Darren.	Tidak ada masalah dengan bee houses di Rodonon Apiary, tetapi kamu mesti melakukan sesuatu buat mereka. Temuilah Daren yang tampak lega.
QUEST_LV_0200_20150317_002437	Defeat the monsters with sweet fragrance.	Kalahkan monsters dengan sweet fragrance.
QUEST_LV_0200_20150317_002438	Villager Darren told you that the monsters are going after the apiary's honey so he wants to use empty beehives to deceive the monsters. Defeat a monster with sweet fragrance and get an empty beehive.	Daren memberitahumu alasan mengapa monsters mengejar apiary karena madu jadi dia berniah mengosongkan beehoused untuk menipu para monster. Mengalahkan monsters dengan sweet fragrance dan mengosongkan bee houses.
QUEST_LV_0200_20150317_002439	Hand over the empty beehive to Villager Darren	Serahkan the empty bee houses kepada Daren
QUEST_LV_0200_20150317_002440	You've obtained an empty beehive. Hand over the beehive to Villager Darren.	Kamu mendapatkan the empty bee houses. Serahkan bee houses kepada Daren.
QUEST_LV_0200_20150317_002441	Obtain %s from a monster with sweet fragrance	Dapatkan %s dari monsters with sweet fragrance
QUEST_LV_0200_20150317_002442	Villager Darren seems to have more to say. Listen to what he has to say.	Daren masih ingin memberitahumu sesuatu. Dengarkanlah apa yang akan dia katakan.
QUEST_LV_0200_20150317_002443	Draw out the oil from the oil barrels	Keluarkan oil dari the oil container
QUEST_LV_0200_20150317_002444	Villager Darren suspects Brewer Dorjen is going to burn down the forest in anger towards the monsters. Before you pacify Dorjen, draw out the oil from the barrels near Micolas Brewery.	Daren memberitahumu bahwa si brewer, Dorzen tidak akan sanggup menahan emosinya dan berniat membakar hutan beserta para monster. Sebelum kamu menenangkan Dorzen, keluarkanlah oil dari the container.
QUEST_LV_0200_20150317_002445	Talk to Brewer Dorjen	Bicaralah pada Dorzen
QUEST_LV_0200_20150317_002446	You've drawn out all the oil from the oil barrels you found. Talk to Brewer Dorjen.	Kamu mengeluarkan semua oil dari oil containers yang kamu lihat. Bicaralah kepada brewer, Dorzen.
QUEST_LV_0200_20150317_002447	Remove the oil from the containers	Lepaskanlah oli dari containers
QUEST_LV_0200_20150317_002448	Brewer Dorjen, is angry after he found out that his plan of burning the forest was foiled. Soothe Dorjen.	The brewer, Dorzen marah karena rencananya untuk membakar semua hutan telah gagal. Tenangkan Dorzen.
QUEST_LV_0200_20150317_002449	Bring back Dorjen's Signature Mead from the Honey Wine Warehouse	Bawalah honey alcohol dari honey alcohol storage
QUEST_LV_0200_20150317_002450	Brewer Dorjen can't calm himself down and told you to bring back his signature mead from the Honey Wine Warehouse.	Dorzen tidak bisa tenang dan memintamu membawa the honey alcohol dari the honey alcohol storage.
QUEST_LV_0200_20150317_002451	You've brought the mead in good condition. Hand it over to Dorjen.	Kamu membawa the honey alcohol. Serahkan pada Dorzen.
QUEST_LV_0200_20150317_002452	Brewer Dorjen seems to trust you a lot now. Listen to what he has to say.	Dorzen kelihatannya sangat mempercayaimu. Dengarkanlah terhadap apa yang hendak dia katakan.
QUEST_LV_0200_20150317_002453	Defeat the monsters who ruined Dorjen's brewery	Kalahkan monsters yang menghancurkan brewery business
QUEST_LV_0200_20150317_002454	Brewer Dorjen told you that if you could defeat the monsters that ruined his brewery, his anger may subside. Exact revenge on the monsters for Dorjen.	Dorzen memberitahumu jika kamu bisa mengalahkan monster yang menghancurkan bisnis brewery, kemarahannya mungkin akan mereda. Balaslah mereka sesuai dengan permintaan Dorzen.
QUEST_LV_0200_20150317_002455	You've defeated the monsters as requested by Dorjen. Let Dorjen know about it.	Kamu telah mengalahkan monsters sesuai permintaan Dorzen. Laporkan kepada Dorzen.
QUEST_LV_0200_20150317_002456	Defeat Chupalukas who ruined the brewery business	Kalahkan Chuparukas yang mengacaukan brewery business
QUEST_LV_0200_20150317_002457	Check the beehives at Rododun Apiary	Periksalah bee houses di Rodonon Apiary
QUEST_LV_0200_20150317_002458	Check the beehives at Rododun Apiary	Periksalah bee houses di Rodonon Apiary
QUEST_LV_0200_20150317_002459	Defeat Sparnas	Kalahkan Sparnas
QUEST_LV_0200_20150317_002460	Defeat the Sparnas that occupied the Rododun Apiary	Kalahkan Sparnas yang menguasai Rodonon Apiary
QUEST_LV_0200_20150317_002461	Check the mead storage boxes	Periksa boxes of the honey alcohol
QUEST_LV_0200_20150317_002462	You can smell some sweet fragrance from somewhere. Check the boxes with sweet fragrance.	Kamu dapat mencium aroma manis dari suatu tempat. Periksalah boxes with sweet fragrance.
QUEST_LV_0200_20150317_002463	It seems that a Biteregina came after the smell of honey. Defeat the Biteregina.	Sepertinya Bitereginas memakan semua madunya. Kalahkan Bitereginas.
QUEST_LV_0200_20150317_002464	Talk to Kirina	Bicara pada Kirina
QUEST_LV_0200_20150317_002465	Kirina seems to be afraid of something. Ask her what happened.	Kirina kelihatannya takut akan sesuatu. Tanyalah apa yang terjadi.
QUEST_LV_0200_20150317_002466	Kirina is worried about the way back to the village. To make her comfortable, defeat the monsters nearby.	Kirina khawatir tentang bagaimana caranya kembali ke desa. Untuk membuatnya tenang, kalahkan monster di sekitar area.
QUEST_LV_0200_20150317_002467	You've defeated enough monsters nearby. Return to Kirina and soothe her.	Kamu sudah cukup mengalahkan monster. Temuilah Kirina dan tenangkan dia.
QUEST_LV_0200_20150317_002468	Talk with Cleopas	Bicaralah dengan Cleopas
QUEST_LV_0200_20150317_002469	Cleopas seems to have some troubles. Listen to what happened to her.	Cleopas kelihatannya sedang kesulitan. Dengarkan darinya apa yang sedang terjadi.
QUEST_LV_0200_20150317_002470	Talk with Micolas	Bicaralah dengan Cleopas
QUEST_LV_0200_20150317_002471	Talk with Micolas on behalf of Cleopas.	Bicara dengan Micolas untuk membantu Cleopas.
QUEST_LV_0200_20150317_002472	You heard why Micolas is angry. Tell Cleopas about it.	Kamu sudah mendengar mengapa Micolas marah. Beritahulah Cleopas mengenai hal tersebut.
QUEST_LV_0200_20150317_002473	Check with Cleopas whether she remembers something.	Cari tahulah apakah Cleopas mengingat sesuatu.
QUEST_LV_0200_20150317_002474	Obtain the brewery device from Elite Chupalukas	Dapatkan brewery device dari Elite Chuparukas
QUEST_LV_0200_20150317_002475	Cleopas once saw the Elite Chupalukas licking the device recklessly. Check with the Elite Chuparuka whether it has the brewery device.	Cleopas pernah melihat Elite Chuparukas menjilati device. Periksalah Elite Chuparuka apakah brewery device ada padanya.
QUEST_LV_0200_20150317_002476	Hand the brewery device to Micolas	Serahkan brewery device pada Micolas
QUEST_LV_0200_20150317_002477	Elite Chuparuka has the brewery device. Hand it over to Micolas.	Elite Chuparuka memiliki brewery device. Serahkan kepada Micolas.
QUEST_LV_0200_20150317_002478	Obtain %s by killing large Chupa Luca	Dapatkan %s dengan membunuh large Chupa Luca
QUEST_LV_0200_20150317_002479	Micolas has a favor to ask of you. Listen to his story.	Micolas memiliki sesuatu untuk diberitahukan kepadamu. Dengarkanlah dia.
QUEST_LV_0200_20150317_002480	Obtain Royal Jellies by defeating the monsters	Mendapatkan Royal Jellies dengan mengalahkan monster
QUEST_LV_0200_20150317_002481	Micolas wants to give Royal Jellies to Cleopas as a way to apologize. Obtain Royal Jellies by defeating the monsters nearby.	Micolas ingin memberikan Royal Jellies kepada Cleopas sebagai permohonan maaf. Dapatkan Royal Jellies dengan mengalahkan monster di sekitar area.
QUEST_LV_0200_20150317_002482	Hand over the Royal Jellies to Cleopas	Serahkan royal jellies kepada Cleopas
QUEST_LV_0200_20150317_002483	You've obtained all Royal Jellies. Hand them over to Cleopas.	Kamu mendapatkan semua Royal jellies. Serahkan kepada Cleopas.
QUEST_LV_0200_20150317_002484	Collect %s from monsters	Kumpulkan %s dari monster
QUEST_LV_0200_20150317_002485	Talk to Maras	Bicara pada Maras
QUEST_LV_0200_20150317_002486	Talk to Maras who is investigating at Three Brooks Wood	Bicaralah pada Maris yang sedang menyelidiki Three Brooks Wood
QUEST_LV_0200_20150317_002487	Check the Sweet-smelling Beehives	Periksalah wadah yang memiliki aroma manis
QUEST_LV_0200_20150317_002488	Maras wants you to check whether the monsters are going after honey or not. Obtain pieces of honey that would lure the monsters.	Maras ingin memeriksa apakah benda yang dicari oleh para monster adalah madu. Dapatkan pieces of honey yang memancing monster.
QUEST_LV_0200_20150317_002489	You have obtained a piece of sweet honeycomb. Ask Maras what to do next.	Kamu mendapatkan sweet honey piece. Dengarkan Maras mengenai tugas selanjutnya.
QUEST_LV_0200_20150317_002490	Obtain %s from beehives	Dapatkan %s dari beehives
QUEST_LV_0200_20150317_002491	Ask how Maras will use the fragments of sweet honeycomb	Dengarkan Maras bagaimana cara dia memanfaatkan pieces of the sweet honey container
QUEST_LV_0200_20150317_002492	Defeat the monsters who smelled the sweet fragrance	Kalahkan monsters yang terpancing dengan bau manis
QUEST_LV_0200_20150317_002493	Maras suspects that the monsters are lured by the honey so he told you to check their reaction to the fragments of sweet honeycomb.	Maras yakin bahwa monster akan terpancing dengan madu jadi dia ingin memastikan dengan menggunakan the pieces of the sweet honey container.
QUEST_LV_0200_20150317_002494	The monsters did not show any peculiar response, even after smelling the fragments of sweet honeycomb. Tell Maras about this.	Monsters tidak memberikan reaksi apapun ketika mencium bau dari sweet honey container. Beritahu Maras mengenai hal ini.
QUEST_LV_0200_20150317_002495	It seems that what the monsters were going after was not honey. Ask him whether he has a different idea.	Sepertinya yang dikejar oleh monster bukanlah madu. Bertanya padanya apakah ada kemungkinan yang lain.
QUEST_LV_0200_20150317_002496	Check Bichiu Altar	Periksalah Bichiu Altar
QUEST_LV_0200_20150317_002497	If they are not going after the honey, then there is only one possible culprit. Check the Bichiu altar where monsters often go.	Jika mereka tidak mengejar madunya, kalau begitu ada satu hal lagi yang sepertinya mencurigakan. Periksa Bichiu altar yang sering didatangi oleh monster.
QUEST_LV_0200_20150317_002498	Hand over the magic piece to Maras	Serahkan piece of the magic stone kepada Maras
QUEST_LV_0200_20150317_002499	It seems that the monsters were lured to the magic piece at Bichiu Altar. Hand over the magic piece to Maras.	Sepertinya monster tertarik dengan pieces of the magic stones di Bichiu Altar. Serahkan potongan dari magic stones kepada Maras.
QUEST_LV_0200_20150317_002500	Ask about the piece that was discovered at Bichiu Altar.	Bertanyalah mengenai potongan yang ditemukan di Bichiu Altar.
QUEST_LV_0200_20150317_002501	Check the Gaudezi Altar	Periksalah Gaudezi Altar
QUEST_LV_0200_20150317_002502	Maras told you that she doesn't know this piece is, but there is one more altar like this up there so check the Gaudezi Altar.	Maras memberitahumu bahwa dia tidak mengetahui tentang potongan ini, namun ada satu lagi altar seperti ini, jadi periksalah Gaudezi Altar.
QUEST_LV_0200_20150317_002503	Talk to Lamar near Wood Watch Tower	Bicara pada Lamar dekat Tree Observatory Tower.
QUEST_LV_0200_20150317_002504	You found the piece with the same shape at the Gaudezi Altar. Go to Lamar as Maras told you.	Kamu menemukan potongan yang sama dengan yang ada di Gaudezi Altar. Pergilah ke tempat Lamar seperti yang diminta oleh Maras.
QUEST_LV_0200_20150317_002505	Talk with Lamar	Bicara pada Lamar
QUEST_LV_0200_20150317_002506	Talk with Lamar about the magic fragment at Gaudeji Altar.	Bicara pada Lamar mengenai magic stone yang muncul di altar of Three Brooks Wood.
QUEST_LV_0200_20150317_002507	Talk with Raeli	Bicara pada Raelie
QUEST_LV_0200_20150317_002508	The Priest Raeli told you to come to Swaying Arable Land and left. Follow her to Swaying Arable Land.	Priest Raelie memberi tahu padamu untuk datang ke Swaying Arable Land dan kemudian pergi. Temui dia di Swaying Arable Land.
QUEST_LV_0200_20150317_002509	Check the altar of Three Brooks Wood at the north	Periksalah altar of Three Brooks Wood di utara
QUEST_LV_0200_20150317_002510	Check the altar of Three Brooks Wood at the north	Periksalah altar of Three Brooks Wood di utara
QUEST_LV_0200_20150317_002511	Destroy Cyclops at the altar of Three Brooks Wood	Hancurkan Cyclops di altar of Three Brooks Wood
QUEST_LV_0200_20150317_002512	Destroy Cyclops at the altar of Three Brooks Wood	Hancurkan Cyclops di altar of Three Brooks Wood
QUEST_LV_0200_20150317_002513	Talk to Riesz	Bicaralah pada Ris
QUEST_LV_0200_20150317_002514	Riesz seems to have lost something and doesn't know what to do. Ask him what is he looking for.	Ris terlihat sedang mencari sesuatu dan tidak tahu apa yang harus dilakukannya. Tanyalah padanya apa yang bisa kamu bantu.
QUEST_LV_0200_20150317_002515	Find the bag of farming tools at Shirsie Sunny Place	Carilah bag dengan farming tools di Shirusie Sunny Place
QUEST_LV_0200_20150317_002516	Riesz encountered a Honeypin at Shirsie Sunny Place, so he ran away without his bag of farming tools. Retrieve his farming tools.	Ris bertemu dengan honeypin di Shriusie Sunny Place sehinga dia berlari tanpa membawa bag miliknya yang berisikan farming tools. Dapatkanlah kembali farming tool miliknya.
QUEST_LV_0200_20150317_002517	Hand over the farming tools to Riesz	Serahkan farming tool kepada Ris
QUEST_LV_0200_20150317_002518	You found the bag of farming tools. Give it back to Riesz.	Kamu menemukan bag dengan tools didalamnya. Berikan kepada Ris.
QUEST_LV_0200_20150317_002519	Search for %s at Shirsie Sunny Place	Temukan %s di Shirusie Sunny Place
QUEST_LV_0200_20150317_002520	Defeat Honeypin	Defeat Honeypin
QUEST_LV_0200_20150317_002521	Talk with Valda	Bicaralah dengan Valda
QUEST_LV_0200_20150317_002522	Valda has something to ask you. Listen to him.	Valda memiliki hal yang ingin dibicarakan denganmu. Dengarkanlah ceritanya.
QUEST_LV_0200_20150317_002523	Collect the pieces of honeycomb	Kumpulkan potongan dari honey container
QUEST_LV_0200_20150317_002524	Maras asked Valda to collect the pieces of honeycomb, but the nearby monsters scare him from going. Collect the pieces of honeycomb at Saldus Bee Farm on behalf of Valda.	Maras meminta Valda untuk mengumpulkan pieces of honey container, namun dia tidak bisa pergi kesana karena adanya monster yang seram. Kumpulkan pieces of honey container di Saltus Apiary untuk membantu Valda.
QUEST_LV_0200_20150317_002525	You've collected all pieces of honeycomb. Hand them over to Valda.	Kamu mengumpulkan semua potongan dari honey container. Serahkan kepada Valda.
QUEST_LV_0200_20150317_002526	Collect %s at the Saldus Bee Farm 	Kumpulkan %s di Saltus Apiary
QUEST_LV_0200_20150317_002527	Riesz seems to have a problem. Find out what happened.	Ris sepertinya sedang kesulitan. Cari tahulah apa yang terjadi.
QUEST_LV_0200_20150317_002528	Sow seeds at Radanza Farm	Taburkan benih di Radanja Farm
QUEST_LV_0200_20150317_002529	Riesz should be sowing seeds at the fields near the village, but he is scared of the monsters. Sow seeds at his farm for him.	Ris harus menaburkan benih di ladang dekat desa, but he is scared of the monster. Scatter the seeds for him.
QUEST_LV_0200_20150317_002530	You've sowed all the seeds. Return to Riesz and let him know.	Kamu menebarkan semua benih. Temuilah Ris dan laporkan.
QUEST_LV_0200_20150317_002531	Talk with Priest Raeli	Bicaralah kepada sang disiple, Raeli
QUEST_LV_0200_20150317_002532	Priest Raeli seems to be quite angry. Meet Priest Raeli.	Disciple Ralie kelihatannya agak marah. Temuilah Raeli.
QUEST_LV_0200_20150317_002533	Collect Bee Tree Branches	Kumpulkan Bee Tree Branch.
QUEST_LV_0200_20150317_002534	To quell a possible insurgency of the villagers, Priest Raeli requested you obtain branches of bee trees. Collect the branches of bee trees near the village.	Sang disciple, Raelie membutuhkan Bee Tree Branch yang telah rusak di dekat desa. Kumpulkan branches of bee trees di dekat desa.
QUEST_LV_0200_20150317_002535	You've collected enough branches. Return to Priest Raeli.	Kamu sudah mengumpulkan cukup branches. Kembalilah kepada disciple, Raelie.
QUEST_LV_0200_20150317_002536	Obtain %s using the branches	Dapatkan %s menggunakan branches
QUEST_LV_0200_20150317_002537	It seems that Priest Raeli has something to say. Meet Priest Raeli.	Sepertinya disciple Raelie ingin mengatakan sesuatu. Temuilah disciple, Raelie.
QUEST_LV_0200_20150317_002538	Activate the Guardian Stone	Aktifkan protecting stone
QUEST_LV_0200_20150317_002539	Priest Raeli told you that more demons are incoming. Activate the Guardian Stone and stop the demons.	Disciple Raelie memberitahumu bahwa demon akan segera datang. Aktifkan protecting stones dan bertahanlah melawan demon.
QUEST_LV_0200_20150317_002540	Stopped the monster attack. Return to Priest Raeli.	Serangan monster berhenti. Kembalilah kepada disciple, Raelie.
QUEST_LV_0200_20150317_002541	Ask Priest Raeli what to do with the branches.	Bertanyalah kepada disciple Raelie apa yang hendak dilakukan kepada branches.
QUEST_LV_0200_20150317_002542	Defeat the demons with the branches and collect the ashes of the demons	Kalahkan demon dan kumpulkan Incinerated Demon Ash yang terbakar.
QUEST_LV_0200_20150317_002543	Priest Raeli told you to use the branches to burn demons when their HP is below half, using the power of the Goddess Austeja, so you can get ashes from the demons.	Sang disciple, Raelie memberitahumu untuk menggunakan branches untuk membakar demons saat HP mereka kurang dari setengah menggunakan Austeja Goddess sehingga kamu bisa mendapatkan demon.
QUEST_LV_0200_20150317_002544	You've collected the ashes of the demons. Talk to Priest Raeli.	Kamu sudah mengumpulkan ashes of the demon. Bicaralah pada disciple, Raelie.
QUEST_LV_0200_20150317_002545	Priest Raeli made the orb using the ashes of the demons. Ask her about what to do the orb.	Sang disciple, Raelie membuat marble menggunakan ashes of the demon. Dapatkan petunjuk darinya apa yang harus dilakukan terhadap marble.
QUEST_LV_0200_20150317_002546	Recharge the orb made of ash with holy energy	Mengisi marble of ashes dengan divine energies
QUEST_LV_0200_20150317_002547	The land where the Goddess Austeja used to control is full of holy magic energies. Go to Palama cliffs and recharge the marble of ashes with the energies.	Tanah yang dikuasai oleh Austeja Goddess biasanya dipenuhi oleh divine magic energies. Pergilah ke Parama cliffs dan isilah marble of ashes dengan energi.
QUEST_LV_0200_20150317_002548	You've filled the orb made of ash with holy energy. Return to Priest Raeli.	Kamu telah memberikan divine magic energies kepada mable of ashes. Kembalilah kepada disciple, Raelie.
QUEST_LV_0200_20150317_002549	The orb made of ash has gathered enough holy energy. Ask Priest Raeli what to do next with this.	The divine magic energies yang dikumpulkan cukup untuk mengisi marble of ashes. Bertanyalah pada disciple, Raelie apa yang harus dilakukan berikutnya.
QUEST_LV_0200_20150317_002550	Restore the weakened seal tower	Pulihkanlah weak sealed tower
QUEST_LV_0200_20150317_002551	Restore the weakened seal tower at Stulr Road. Demons may be there to break the seal, so you should hurry.	Pulihkanlah weak sealed tower di Stula Highway. Demon mungkin akan merusak seal sehingga kamu harus bergegas.
QUEST_LV_0200_20150317_002552	Talk to Goddess Austeja	Bicara pada Austeja Goddess 
QUEST_LV_0200_20150317_002553	As you restored the seal tower, Goddess Austeja has appeared. Listen to Goddess Austeja's story	Karena kamu sudah memulihkan sealed tower yang berubah karena demon, Austeja Goddess  telah muncul. Dengarkan kisah dari Austeja Goddess .
QUEST_LV_0200_20150317_002554	Listen to Goddess Austeja's story	Dengarkan kisah dari Austeja Goddess 
QUEST_LV_0200_20150317_002555	Goddess Austeja told you that the everything that is occurring at the apiary is the act of the demons that are trying to release the seal that is placed upon the Demon Lord.	Austeja Goddess  memberitahumu bahwa semua yang terjadi pada apiary adalah ulah demon yang mencoba melepas seal yang ditempatkan pada demon lord.
QUEST_LV_0200_20150317_002556	Priest Raeli is worrying about something. Ask her what to do.	Sang disciple, Raelie mengkhawatirkan sesuatu. Tanyalah padanya apa yang harus dilakukan.
QUEST_LV_0200_20150317_002557	Check the large mutant plant	Periksalah gigantic transformed plant
QUEST_LV_0200_20150317_002558	The large plant looks somewhat dangerous. Inspect it.	The gigantic grass terlihat berbahaya. Berhati-hatilah padanya.
QUEST_LV_0200_20150317_002559	The large mutant plant was a Kurumis. Report about it to Priest Raeli.	The gigantic transformed plant adalah Kurumis. Temuilah disciple Raelie.
QUEST_LV_0200_20150317_002560	Check the weakened Seal Tower	Periksalah weakened sealed tower
QUEST_LV_0200_20150317_002561	Check the Seal Tower that was weakened by demon attacks	Periksa sealed tower yang menjadi lemah karena serangan demon
QUEST_LV_0200_20150317_002562	Defeat the Demon Lord Tautrimas	Kalahkan demon lord Tautrimas
QUEST_LV_0200_20150317_002563	The Demon Lord, Tautrimas appeared to go after the weakened sealed tower. Defeat the Demon Lord, Tautrimas.	Sang demon lord, Tautrimas sepertinya akan pergi menuju sealed tower yang melemah. Kalahkan demon lord, Tautrimas.
QUEST_LV_0200_20150317_002564	Talk with Greedy Druva	Bicara dengan Greedy Druba
QUEST_LV_0200_20150317_002565	Greedy Druva is looking for someone who can help him out. Talk with greedy Druva.	Greedy Druba mencari seseorang yang dapat membantunya. Bicaralah dengan Greedy Druba.
QUEST_LV_0200_20150317_002566	Collect Oak Wood Planks	Extract oak stems
QUEST_LV_0200_20150317_002567	Greedy Druva wants to put the scarecrow that would drive out the monsters. Collect the oak stems that will be the materials to make the scarecrow.	Greedy Drubaingin memasang scarecrow yang dapat mengusir monster. Kumpulkan oak stems yang akan digunakan sebagai materials untuk membuat scarecrow.
QUEST_LV_0200_20150317_002568	You've collected all the oak stems. Return to greedy Druva.	Kamu mengumpulkan semua oak stems. Kembalilah kepada greedy Druba.
QUEST_LV_0200_20150317_002569	Collect %s near the village	Kumpulkan %s di dekat desa
QUEST_LV_0200_20150317_002570	You've brought the oak stems as requested by greedy Druva. Listen to the next story.	Kamu membeli oak stems sesuai dengan permintaan greedy Druba. Dengarkanlah cerita berikutnya.
QUEST_LV_0200_20150317_002571	Place the scarecrow with the charm attached	Kalahkan scarecrows yang memiliki amulets
QUEST_LV_0200_20150317_002572	Set up scarecrows with amulets on it in Druva's farm and observe the monsters' reactions. The farm is located on the left of Arkllui Crossroads.	Pasanglah scarecrows dengan amulets diatasnya pada Druba's farm dan awasilah reaksi monsters. Lokasinya ada di sebelah kiri Arkllui Crossroads.
QUEST_LV_0200_20150317_002573	Talk to Ruined Bee Farmer Logen	Bicara pada Rosen of the bankrupt beekeeper
QUEST_LV_0200_20150317_002574	It seems like Logen is in a bad mood. Ask him what's wrong.	Sepertinya Rosen sedang marah. Cobalah bertanya padanya.
QUEST_LV_0200_20150317_002575	Bee Farmer Logen says his bee farm had to close down because of the monsters. Enact revenge against the monsters for Logen's sake.	Rosen bilang beefarm miliknya harus tutup karena monsters. Balaslah para monster itu untuk Rosen.
QUEST_LV_0200_20150317_002576	Defeated the monsters as Logen requested. Return to Logen.	Mengalahkan monsters sesuai permintaan Rosen. Kembali kepada Rosen.
QUEST_LV_0200_20150317_002577	Talk to Priest Dazine	Bicara pada Priest Dajine
QUEST_LV_0200_20150317_002578	Go to Priest Dazine in the Spring Light Woods.	Pergilah menemui Priest Dajine di Spring Light Woods.
QUEST_LV_0200_20150317_002579	Collect the Fragmented Symbol of Austeja	Kumpulkan broken pieces of symbol of Austeja
QUEST_LV_0200_20150317_002580	You need the Symbol of Austeja to cure the Revelators who are addled by the evil energy. First, collect the fragmented symbols of Austeja.	Kamu membutuhkan symbol of Austeja untuk mengembalikan Saviors yang terpengaruh oleh kekuatan jahat. Pertama, kumpulkanlah potongan-potongan symbol.
QUEST_LV_0200_20150317_002581	Retrieve the Fragmented Symbol of Austeja	Kumpulkan pieces of symbol of Austeja
QUEST_LV_0200_20150317_002582	Restore the symbol at the Austeja Altar 	Pulihkan symbol di Austeja Altar
QUEST_LV_0200_20150317_002583	Restore the fragments of the symbol at the Austeja Altar.	Pulihkan broken peices of symbol of Austeja di Austeja Altar.
QUEST_LV_0200_20150317_002584	Restored the symbol at the Austeja Altar. Give it to Priest Dazine.	Pulihkan symbol di Austeja Altar. Berikan kepada Dajine.
QUEST_LV_0200_20150317_002585	Talk to Priest Dazine about how to purify the addled Revelators.	Bicaralah pada pengikut Austeja mengenai penyucian terhadap endazzled Saviors.
QUEST_LV_0200_20150317_002586	Purify the addled Revelators	Sucikan endazzled Saviors
QUEST_LV_0200_20150317_002587	Fight the addled Revelators to subdue them, then use the Austeja's Symbol to purify them.	Seranglah endazzled Saviors untuk menghentikan mereka lalu gunakanlah symbol of Austeja to purify.
QUEST_LV_0200_20150317_002588	Purified all the addled Revelators. Talk to Priest Dazine.	Sucikan semua endazzled Saviors. Bicara pada priest Dajine.
QUEST_LV_0200_20150317_002589	Cured all the addled Revelators. Ask Priest Dazine what to do next. {nl}{nl}With the addled Revelators now purified, talk to Priest Dazine about the seal.	Menyembuhkan semua endazzled Saviors. Bicaralah pada pengikut Austeja apa yang harus dilakukan berikutnya. {nl}{nl}Semua endazzled Saviors sudah disucikan. Bicara pada Dajine mengenai segelnya.
QUEST_LV_0200_20150317_002590	Restore the Rankis Seal and the Ranka Seal	Pulihkan Rangkis Seal dan Rangka Seal
QUEST_LV_0200_20150317_002591	The seal towers that sealed the forces of evil were all destroyed by the monsters. The Symbol of Austeja can restore a little bit of power to the Seal. {nl}{nl}The Seal Towers that sealed the forces of evil were all destroyed by the monsters. The Symbol of Austeja can restore a little bit of power to the Seal.	Seal Tower untuk menyegel kekuatan jahat telah dirusak oleh para monster. Symbol of Austeja dapat memberikan kekuatan tambahan kepada Seal. {nl}{nl}Seal Tower untuk menyegel kekuatan jahat telah dihancurkan oleh para monster. Gunakan symbol of Austeja dan pulihkan seal.
QUEST_LV_0200_20150317_002592	Restore the goddess' powers to Rankis Seal Tower and Ranka Seal Tower	Tambahkan kekuatan dari Goddess kepada Rangkis seal tower dan Rangka seal tower
QUEST_LV_0200_20150317_002593	Restored power to the first destroyed tower. Now, I have to restore power of the other destroyed tower as well.	Menambahkan kekuatan kepada tower yang pertama kali dihancurkan. Menambahkan kekuatan kepada tower yang dihancurkan berikutnya.
QUEST_LV_0200_20150317_002594	Goddess Austeja appeared and is trying to tell you something. Listen to what she is saying.	Goddess Austeja muncul dan ingin memberitahumu sesuatu. Dengarkanlah apa yang hendak dikatakannya.
