QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20150317_001134	After some time, word of this occurrence reached the king. Curious as to why this happened, the king ordered an investigation. {nl}The hidden truth was brought to light, and Aiste's story was known.	 {nl} Setelah beberapa waktu, hal tersebut sampai ke telinga raja. Penasaran dengan apa yang terjadi, raja mengadakan penyelidikan mengenai hal ini. {nl} Kenyataan pun terungkap, dan kisah mengenai Aiste mulai dikenal.  {nl}  {nl}
QUEST_20150317_001135	The king praised the people that caused the miracle with their charitable hearts. {nl}Additionally, to honor the grace of the goddess, he decided to spend the national treasury to build a large statue dedicated to her.	Raja memuji orang yang menyebabkan mujizat ini terjadi karena hatinya yang welas asih. Dan sebagai ucapan terima kasih kepada berkat Goddess, ia memutuskan untuk menggunakan hartanya untuk mendirikan sebuah patung besar yang didedikasikan kepada Goddess.  {nl}  {nl}
QUEST_20150317_001136	On the day the statue was finally completed, {nl}something miraculous happened as the King and Aiste went together to make the first offering. {nl}From the circumference of the statue sprouted coins - all the silver coins that had been lost by Fedimians up until that time.	Pada hari ketika patung telah selesai dibangun, {nl}sesuatu yang ajaib terjadi ketika raja and Aiste pergi bersama untuk melakukan persembahan yang pertama. {nl}Mendadak sekeliling patung dipenuhi dengan koin - itu semua adalah semua koin silver yang telah hilang di Fedimian sampai saat itu.
QUEST_20150317_001137	After heated debate, the Fedimian people decided to not to hoard their lost silver coins. {nl}Instead, they asked the king to collect all the coins and distribute them among the poor of the Kingdom. {nl}The king readily agreed, and gave the order to record this beautiful event into the history of the Kingdom.	Setelah perdebatan sengit, Orang Fedimian memutuskan untuk tidak menimbun koin silver mereka yang hilang. {nl}Melainkan, mereka meminta raja untuk mengumpulkan seluruh koin itu, dan membagikannya kepada kaum miskin di kerajaan. {nl}Raja pun setuju akan hal itu, dan memberikan perintah untuk mencatatkan momen indah ini di dalam sejarah kerajaan.
QUEST_20150317_001138	Even now, nobody knows when and how the mysterious phenomenon of Fedimian started, {nl}but everybody knows when, how, and who helped unravel the mystery. {nl}It was through the kindness of Aiste and the people who helped her, as well as through the grace of the goddess, that the mystery came to an end.	Sekarang pun, tidak ada yang pernah tahu dan bagaimana fenomena misterius Fedimian itu terjadi, {nl}Tetapi mereka tahu kapan, bagaimana, dan siapa yang menyelesaikan misteri tersebut. {nl}Iitu adalah melalui kebaikan dari Aiste dan orang yang membantunya, tentu saja dengan berkat dari Goddess, sehingga misteri itu dapat diakhiri.
QUEST_20150317_001139	The Gambler of Klaipeda	Klaipeda Wagerer
QUEST_20150317_001140	The Gambler of Klaipeda {nl}~A Short Story~	Klaipeda Wagerer{nl}(A Wagerer of Kliapeda)
QUEST_20150317_001141	#VALUE!	{nl}{nl}Di dalam kota Klaipeda, pernah ada seseorang yang tinggal dengan nama Modestas. {nl}Dia adalah orang yang baik, jujur - tapi memiliki satu kelemahan utama bahwa teman-temannya dan keluarganya khawatir, terutama istrinya. {nl}Modestas tidak malas atau sangat rajin atau terlalu bodoh. {nl}Dia tidak minum atau berkelahi. {nl}Pria ini memiliki satu cacat, dan itu yang ia cintai untuk berjudi.{nl}
QUEST_20150317_001142	During the day, Modestas would work hard and would never let himself go hungry - {nl}but whenever he earned more than he really needed, he would gamble. {nl}The wife would always try to save this money, but not one extra coin would ever go toward their home.	"Pada siang hari, Modestas akan bekerja keras dan tak akan membiarkan dirinya sendiri sampai kelaparan - {nl}tetapi kapanpun ketika ia mendapatkan uang lebih dari yang ia butuhkan, Ia akan berjudi. {nl}Istrinya selalu mencoba untuk menyelamatkan uangnya, tetapi tidak ada koin yang tersisa yang pernah sampai di rumah mereka.
"
QUEST_20150317_001143	Whenever she could, Modestas' wife would often go to the shrine, and pray to the goddess' likeness. {nl}But Modestas continued his odd habits, and the people around him grew increasingly concerned. {nl}After all, the mind of a gambler would think, 'Today it may be small, but tomorrow it could be big!' {nl}And so the days rolled by, same as they ever were, until one peculiar day.	Kapanpun ketika ia bisa, istri Modestas akan menyempatkan diri untuk pergi ke kuil, dan berdoa kepada Goddess agar menjadi lebih baik. {nl}Tetapi Modestas tetap melanjutkan kebiasaan anehnya, dan orang di sekitarnya menjadi lebih awas akan dirinya. {nl}Setelah semua itu, Pikiran seorang penjudi akan berpikir, 'Mungkni hari ini kecil, tetapi besok mungkin saja akan besar!' {nl}Dan hari pun terus berlalu, sama seperti yang ada pada mereka sebelumnya, sampai pada suatu hari tertentu.
QUEST_20150317_001144	Like most of his days, Modestas was heading home after gambling away his excess coins. {nl}He was walking through the Siauliai Woods on the path to Klaipeda, when he saw a strange, old woman on the road.	Seperti biasanya, Modestas akan kembali ke rumah setelah berjudi dengan seluruh uang yang ia punya. Ia sedang berjalan melewati {nl} Siauliai Woods dalam perjalanan ke Klaipeda, ketika ia bertemu seorang wanita tua di jalan.  {nl}
QUEST_20150317_001145	This old woman seemed not only old and frail, but had an unnerving aura around her. {nl}She was acting strangely, as if deep in thought or as if she was obsessed with whatever she was doing. {nl}Modestas thought about simply ignoring the woman and walking past. Nothing would have happened if he did that, {nl}but curiosity got the better of him.	Wanita tua ini nampaknya tidak hanya tua dan rapuh, tetapi memiliki aura yang mengerikan di sekitarnya. {nl}Ia berlaku aneh, seperti sedang memiliki suatu pikiran mendalam atau terobsesi dengan apapun yang sedang ia lakukan. {nl}Modestas  berpikir untuk mengabaikan wanita itu begitu saja dan melewatinya. Tidak akan terjadi apa-apa jika ia melakukan itu, {nl}tetapi rasa ingin tahu membuatnya berbicara dengan wanita itu.
QUEST_20150317_001146	To be precise, what really turned his head toward the old woman was what she held in her hands. {nl}Gold. The woman seemed to be obsessing over two gold pieces, doing something with them. {nl}Unable to hear her mumbling, Modestas drew closer to the strange woman.	"Tepatnya, hal yang membuat ia memutarkan kepalanya kepada wanita itu adalah sesuatu yang digenggam oleh wanita itu di tangannya. {n]}Emas. Wanita itu terlihat sepertinya terobsesi pada dua potongan emas itu, melakukan sesuatu terhadapnya. {nl}Walau tidak dapat mendengarkan gerutu wanita itu, Modestas datang mendekat pada wanita aneh itu.
"
QUEST_20150317_001147	#VALUE!	Selama suara gemerincing emas, wanita tua itu bergumam. {nl}'Jika dua potongan emas ini bisa menikah, bayi emasnya akan membuatku kaya... tapi benda ini tidak hidup...' {nl}Modestas mendengar kata-kata ini, dan berkomentar. {nl}'Emas itu tidak akan membuatmu kaya dengan sendirinya, taruhlah pada sesuatu yang berharga. {nl}Apakah kamu bergumam pada emas akan melakukan sesuatu?'{nl}
QUEST_20150317_001148	The old woman spoke plainly, 'Why not? If it works, this'll certainly be the most pleasant, risk-free way to wealth.' {nl}'That's ridiculous. You should do what I do and gamble.' {nl}The woman was incensed.	Wanita tua itu pun berkata,  {nl} "Jika hal ini bisa membuahkan hasil, kenapa tidak?" {nl} "Itu tidak masuk akal. Kamu harus melakukan apa yang aku lakukan, berjudi." {nl} Wanita tersebut marah.
QUEST_20150317_001149	'So, you think your betting ways are better?' {nl}'Why wouldn't I? There are moments where I could win or lose, but your way won't make any gold at all.' {nl}With Modestas' words, the old woman paused in thought. Finally, she said, {nl}'Then let's have a bet.'	Jadi, kamu berpikir taruhan kamu itu lebih baik?' {nl}'Mengapa tidak? Ada saat-saat dimana aku bisa menang atau kalah, tapi caramu tidak akan menghasilkan emas sam sekali.' {nl}Mendengar kata-kata Modestas' , sejenak wanita tua itu berpikir. Akhirnya, dia berkata, {nl}'Baiklah kita buat taruhan.'
QUEST_20150317_001150	The disturbing aura around her grew as soon as the offer reached Modestas' ears. He couldn't outright refuse. {nl}'What kind of bet?' {nl}'We'll see whether your way or my way will make us richer.' {nl}'And if I lose?'	Aura tidak enak dari wanita itu mulai terasa oleh Modestas. Ia t idak bisa menolak tawaran tersebut. {nl} "Bertaruh untuk apa?" {nl} "Kita akan bertaruh, apakah caramu atau caraku yang akan membuat kita lebih kaya."  {nl} "Dan jika aku kalah?" {nl}
QUEST_20150317_001151	'Don't worry about that. You will win, and you will lose - that won't change. The rules are fixed.' {nl}'What do you mean by that?' {nl}'By taking my offer, you will fail once, and you will win once. No matter what happens.' {nl}'Well, yeah. Winning and losing is how gambling works.'	Jangan khawatir tentang itu. Kamu akan menang, dan kamu akan kalah -itu tidak akan berubah. Peraturannya jelas.' {nl}'Apa yang kamu maksud?' {nl}'Dengan menerima tawaranku, kamu hanya gagal satu kali, dan kamu akan menang satu kali. Tidak peduli apa yang terjadi.' {nl}'Baiklah, yeah. Menang dan kalah adalah bagaimana perjudian bekerja.'
QUEST_20150317_001152	'No. No matter how unlucky things may seem, you will win your first gamble. {nl}And then, no matter how favorable life may seem, you will fail the next.'	Tidak. Tidak peduli seberapa sialnya kamu, kamu akan memenangkan taruhan pertama kamu saat berjudi.{nl} Tapi, tak peduli seberapa beruntungnya kamu setelahnya, kamu akan kalah. {nl}
QUEST_20150317_001153	#VALUE!	Modestas masih bingung dengan kata-kata aneh ini. {nl}'Jadi, kamu mengatakan aku akan menang pada setiap taruhan ganjil, dan kalah pada setiap taruhan lainnya?' {nl}'Ya. itu akan terjadi, dan kamu akan menang beberapa kali, dan kemudian tidak. Apakah itu tidak adil? {nl}Satu coin akan cukup untuk sukses, tak pedulu berapa banyak kamu bertaruh. itu tawaranku.' {nl}'Kamu pikir aku akan menukar antara menang dan kalah, huh?'{nl}
QUEST_20150317_001154	With her hand to her chin, the old woman gave a puzzling response. {nl}'Three times each should be enough. Return to me after you make six gambles. {nl}Naturally, if you don't have more coin after your sixth bet, I will win.'	Dengan tangan di dagu, si wanita tua tersebut memberikan respon yang aneh. {nl} "Masing-masing 3 kali, itu sudah cukup. Kembalilah kepadaku setelah kamu selesai berjudi sebanyak 6 kali. Jadi, jika kamu tidak punya uang lagi setelah berjudi sebanyak 6 kali, maka aku akan menang." {nl}
QUEST_20150317_001155	#VALUE!	Modestas tampak gemetar. 'Jadi, Berapa banyak harus aku dapatkan?' {nl}'Kamu akan mulai dengan satu potong emas,' dia membalas, 'dan ketika kamu kembali, tunjukkan semua keping emas kamu tapi yang satu itu. {nl}Jika kamu mengembangkan satu potong itu menjadi yang lain, maka kamu menang. Kamu punya waktu... satu minggu.' {nl}'Jadi, apa yang kamu dapatkan jika aku kalah?' Modestas mengingatkannya.{nl}
QUEST_20150317_001156	'Well...' the old woman lingered, 'If you win, everyone will know about my gold - {nl}and you'll have the power of winning and losing. On the other hand...' {nl}''On the other hand...'?' Modestas said, tensely.	Jawab wanita itu, {nl} "Yah.." ia melanjutkan {nl}  {nl}" Jika kamu menang, semua orang akan tahu tentang emasku,{nl} dan kamu akan mendapatkan kekuatan untuk menang dan kalah. Tapi..." {nl} "Tapi?" Mordestas mulai cemas.{nl}
QUEST_20150317_001157	'After I win, the friends you know will disappear every time you lose a bet.' {nl}Modestas was unnerved by the conditions set. He did not immediately object; instead, he thought of victory, {nl}and soon accepted. Modestas was, most of all, the kind of person who never backed down.	Setelah aku menang, teman-temanmu akan menghilang setiap kali kamu kalah taruhan.' {nl}Modestas ditunjukkan dengan kondisi itu. Dia tidak keberatan; sebaliknya, dia berpikir tentang kemenangan, {nl}dan segera menerimanya. Modestas adalah, kebanyakan dari, tipe orang yang tak pernah mundur.
QUEST_20150317_001158	As Modestas and the old woman parted ways, he, in any case, knew he now had a dangerous power guaranteeing his victory at any time in the near future. {nl}He walked, looking for the next person to bet huge on. As he wondered how much to wager on his next move, he heard the sound of galloping behind him.	Setelah Modestas dan wanita tua itu berpisah, dia, sebenarnya, tahu bahwa dia dalam bahaya untuk menjamin kemenangannya setiap saat dalam waktu dekat. {nl}Dia berjalan, mencari orang untuk bertaruh besar padanya. Saat ia bertanya-tanya berapa banyak bertaruh pada langkah selanjutnya, ia mendengar suara berderap di belakangnya.
QUEST_20150317_001159	Modestas turned around. It was his good old friend, Sigfried, riding on horseback towards him. {nl}They knew each other well, as both had been together through the highs and lows of gambling. They exchanged greetings and talked about where they were going. Sigfried dismounted to walk at a leisurely pace with his friend, idly chatting along their way. {nl}	Modestas berbalik. Itu adalah teman lamanya, Sigfried, menunggang kuda ke arahnya. {nl}Mereka saling mengenal satu sama lain, karena keduanya telah bersama-sama melalui tinggi dan rendahnya perjudian. Mereka bertukar salam dan berbicara kemana mereka akan pergi. Sigfried turun untuk berjalan santai dengan temannya, iseng mengobrol sepanjang perjalanan. {nl}
QUEST_20150317_001160	However, before long, Modestas could no longer continue walking with Sigfried. {nl}He was fully aware of his deadline, and had no time for such trivial activities. {nl}	Namun, sebelum berjalan jauh, Modestas memutuskan bahwa ia tidak bisa berjalan bersama Sigfried. Ia punya deadline dan tidak punya waktu untuk kegiatan seperti itu.  {nl}
QUEST_20150317_001161	Even during their normal everyday conversations, Modestas and Sigfried unconsciously made big and small bets. Eventually, one would utter the word, 'Bet?' unconsciously. {nl}Neither of them were rich so these bets weren't ever that significant. Knowing this would trigger the curse, Modestas really wanted to ask Sigfried to leave. {nl}In the end, Modestas uttered these words: {nl}	Bahkan selama percakapan harian mereka, Modestas dan Sigfried sadar membuat taruhan besar dan kecil. Akhirnya, salah satunya berkata, 'Taruhan?' tanpa disadari. {nl}Tak satupun dari mereka yang kaya jadi taruhan ini tidak signifikan. Mengetahui hal ini memicu kutukan itu, Modestas benar-benar meminta Sigfried untuk pergi. {nl}Pada akhirnya, Modestas mengucapkan kata-kata ini: {nl}
QUEST_20150317_001162	'Are you not busy? You seemed to be in a hurry on your horse before you passed by for a talk. You should stop worrying about me and go.' {nl}Sigfried, hearing Modestas' words, replied, {nl} 'I was busy, but I still have time to walk with you for another ten minutes or so. This horse might not look like much, but when it comes down to it, he can go pretty fast.' {nl}	Apakah kamu tidak sibuk? Kamu tampaknya terburu-buru berkuda sebelum kita berbincang-bincang. Kamu harus berhenti khawatir tentangku dan pergilah.' {nl}Sigfried, mendengar kata-kata Modestas' , dan membalas, {nl} 'Aku sibuk, tapi aku masih punya waktu untuk berjalan denganmu selama sepuluh menit atau lebih. Kuda ini mungkin tak terlihat bagus, tapi ketika tiba di sana, dia dapat pergi cukup cepat.' {nl}
QUEST_20150317_001163	Seeing Sigfried not budge, Modestas tried again to persuade him, {nl}'Wouldn't it be better to be early as opposed to be on time?' {nl}{nl}Hearing this, Sigfried became adamant, {nl}'Do you not believe what I just said, or are you willfully ignoring it all?' {nl}A disconcerted Modestas said, {nl}'No, I didn't mean it like that...' {nl}	Melihat Siegfried tidak bergeming, Modestas mencoba lagi membujuknya, {nl} 'Bukankah lebih baik untuk datang lebih awal dengan tepat waktu? " {nl} {nl} Mendengar ini, Siegfried menjadi bersikukuh, {nl} "Apakah Kamu tidak percaya apa yang aku katakan, atau Kamu sengaja mengabaikan semua itu?" {nl} Bingung Modestas mengatakan, {nl} 'Tidak, aku tidak bermaksud seperti itu ...' {nl}
QUEST_20150317_001164	However, before Modestas could say any more, Sigfried said, 'If you don't believe me, why don't we have a bet?' {nl}{nl}Naturally, the words, 'Sure. What do you want to wager?' rose up in Modestas' throat.	Sebelum Modestas lanjut berbicara, Sigfried berkata, "Jika kamu tidak percaya padaku, kita taruhan saja!" {nl} {nl} "Baiklah, apa taruhannya?" perkataan itu secara otomatis meluncur dari mulut Modestas.
QUEST_20150317_001165	Considering Modestas' habit, to not immediately accept a gamble took superhuman willpower from him. {nl}'What... What kind of bet?' {nl}'We're going to bet on whether my horse is fast or not.' {nl}Modestas desperately fought against his inner gambler.	Sudah seperti kebiasaan, Modestas tidak akan pernah menolak ajakan untuk berjudi, itu seperti hal yang mustahil untuk terjadi. {nl} "Ta..Taruhan seperti apa?" {nl} "Kita akan bertaruh, apakah kudaku cukup cepat atau tidak"{ nl} Modestas pun tidak kuasa menahan godaan.
QUEST_20150317_001166	On the other hand, Sigfried was understandably confident, knowing with certainty that he would win the gamble, and was alright with betting his horse. {nl}With only a little money at hand, the bet became too good to refuse, and Modestas finally accepted. {nl}And, as expected, Modestas won. {nl}	Di sisi lain, Siegfried percaya diri, mengetahui dengan pasti bahwa ia akan menang berjudi, dan baik-baik saja dengan taruhan kudanya. {nl} Dengan hanya sedikit uang di tangan, taruhan menjadi terlalu bagus untuk mditolak, dan Modestas akhirnya diterima. {nl} Dan, seperti yang diharapkan, Modestas menang. {nl}
QUEST_20150317_001167	As soon as the bet started, Sigfried tried every method possible to command his horse to move. Despite his efforts, it didn't move a single hoof at all.{nl}At the end, Sigfried repeatedly cursed its strange behavior. Realizing he'd be late to his appointment without a horse, he threw the reins to Modestas and sprinted away.{nl}As Sigfried disappeared, Modestas felt uncomfortable.	Begitu taruhan dimulai, Siegfried mencoba setiap metode yang mungkin untuk memerintah kudanya agar bergerak. Meskipun usahanya, itu tidak menggerakkan kukunya sama sekali. {nl} Pada akhirnya, Siegfried berulang kali mengutuk perilaku yang aneh. Menyadari ia akan terlambat pergi tanpa kuda, ia melemparkan tali kekang untuk Modestas dan berlari menjauh. {nl} Saat Sigfried menghilang, Modestas merasa tidak nyaman.
QUEST_20150317_001168	For Modestas, who had always been elated upon winning bets and depressed upon losing them, to win and feel depressed was a first in his entire life. {nl}	Biasanya Modestas akan merasa sangat bahagia ketika memenangkan taruhan, namun kali ini, untuk pertama kalinya dalam hidupnya, ia merasa depresi ketika menang. {nl}
QUEST_20150317_001169	Knowing he had just deceived his long-time gambling friend, Sigfried, and also missed an opportunity to earn a lot of money, Modestas felt conflicted as he walked slowly alongside the horse he had just won. {nl}While walking, Modestas remembered the earlier warnings of his unconditional bet. He realized that now, with his upcoming defeat, he was doomed to not earn any more silver than he started with.	Mengetahui dia baru saja ditipu teman perjudian lama waktunya, Siegfried, dan juga melewatkan kesempatan untuk mendapatkan banyak uang, Modestas merasa ada konflik sambil berjalan perlahan di samping kuda yang baru saja ia menangi. {nl} Sambil berjalan, Modestas ingat peringatan sebelumnya dari taruhan tanpa syarat. Dia menyadari bahwa sekarang, dengan kekalahan yang akan datang, ia ditakdirkan untuk tidak mendapatkan apapun dari silver yang ia punya.
QUEST_20150317_001170	While walking along the road, Modestas encountered a group of soldiers. {nl}Upon looking closer, the soldiers seemed to be arguing about what to buy at a store. {nl}Modestas decided not to interfere and pass them, but the soldiers noticed him and called. {nl}	Sambil berjalan di sepanjang jalan, Modestas bertemu sekelompok soldier. {nl} Setelah melihat lebih dekat, para prajurit tampaknya berdebat tentang apa yang harus dibeli di toko. {nl} Modestas memutuskan untuk tidak mengganggu dan melewati mereka, tetapi para prajurit melihat dan memanggilnya. {nl}
QUEST_20150317_001171	Modestas, perplexed by their reaction, asked for an explanation to which one of the soldiers answered, {nl}'We originally had votes for four goddesses but your choice isn't any of them, so now we have five goddesses.' {nl}The soldiers then resumed their squabble about how to decide the winner. {nl}	Modestas, bingung dengan reaksi mereka, meminta penjelasan yang salah satu tentara dan menjawab, {nl} 'Kami awalnya memiliki penilaian untuk empat Goddess tapi pilihan kamu bukan salah satu dari mereka, jadi sekarang kita memiliki lima Goddess. " {Nl} Para tentara kemudian melanjutkan perselisihan mereka tentang bagaimana untuk menentukan pemenang. {nl}
QUEST_20150317_001177	The mood began to deteriorate so Modestas wanted to leave. {nl}When he was about to take off, the soldiers blocked his path and accused him. {nl}'It's your fault the argument heated up even more. You're not thinking of just leaving are you?'{nl}Intimidated by the irritated soldiers, Modestas dared not to escape. {nl}	Mood mulai memburuk sehingga Modestas ingin meninggalkan. {nl} Ketika ia hendak pergi, para prajurit menghalangi jalan dan menuduhnya. {nl} 'Ini salahmu argumen memanas bahkan lebih. Kamu tidak berpikir untuk hanya meninggalkan Kamu? "{nl} Terintimidasi oleh tentara jengkel, Modestas tidak berani melarikan diri. {nl}
QUEST_20150317_001178	In Modestas' mind, he concluded that the quarrelling soldiers didn't have him referee, but simply added him into the bet. In reality however, he had no real claim, so he wasn't in the bet just yet. {nl}	Dalam benak Modestas, akhirnya ia menyadari bahwa para prajurit bukan cuma memintanya sebagai juri, namun memasukkan ia ke dalam taruhan. Namun ia belum mengklaim apapun, jadi sebenarnya ia belum ikut serta di dalam taruhan tersebut.{nl}
QUEST_20150317_001179	Knowing Modestas, he could not simply sit on the sidelines watching a big bet grow. Eventually, he became enticed to join. Modestas, caught in the heat of the moment and ending up participating, finally remembered it was his turn to lose.{nl}But it was too late.{nl}	Mengetahui Modestas, ia tidak akan hanya duduk di sela-sela menonton taruhan besar tumbuh. Akhirnya, ia menjadi tertarik untuk bergabung. Modestas, ikut panas saat itu dan akhirnya berpartisipasi, akhirnya ia ingat itu gilirannya kalah. {nl} Tapi sudah terlambat. {nl}
QUEST_20150317_001180	In addition, because the other soldiers had already bet deeply, Modestas had to bet the only gold bullion he had. {nl}	Akhirnya, karena para prajurit lain sudah memasang taruhan yang sangat besar, Modestas harus menggunakan satu-satunya keping emas yang ia miliki.  {nl}
QUEST_20150317_001181	If you think about it, even if it was not his turn to lose, all it took for him do so was one more vote for any of the goddesses he didn't choose. With the odds of the next person walking by supporting his goddess being against him, the probability of winning was low anyway.{nl}{nl}However, the victor was chosen unexpectedly. An officer found the soldiers slacking, disciplined them and was about to lead them away. {nl}The soldiers, obeying the superior's command, were about to march off when they shrewdly asked him which goddess he favored. {nl}	Jika Kamu berpikir tentang hal itu, bahkan jika itu tidak gilirannya kehilangan, semua butuh untuk dia melakukannya adalah satu suara lebih untuk salah satu Goddess dia tidak memilih. Dengan kemungkinan orang tersebut berjalan ke depan dengan mendukung Goddess nya menjadi melawan dia, probabilitas menang rendah pula. {nl} {nl} Namun, pemenang dipilih tiba-tiba. Seorang petugas menemukan tentara malas, disiplin mereka dan hendak memimpin mereka pergi. {nl} Para prajurit, menaati perintah atasan, hendak berbaris ketika mereka cerdik bertanya yang Goddess ia disukai. {nl}
QUEST_20150317_001182	The officer inadvertently said the name of a goddess, and some of the soldiers began cheering. {nl}The officer, not knowing what was going on, simply ordered his soldiers to move along. In any case, Modestas certainly lost. {nl}	Pemimpin tersebut menyebutkan salah satu nama Goddess yang membuat beberapa prajurit bersorak.{nl} Tidak mengetahui apa yang prajuritnya maksud, si pemimpin menyuruh mereka untuk berjalan dengan cepat. Dengan itu, Modestas benar-benar kalah.  {nl}
QUEST_20150317_001183	Having now lost the gold bullion given to him by the strange old woman, Modestas was now at a loss. {nl}To originally intend to referee, only to end up losing all the gold he had, all while knowing exactly the reason why... Modestas felt heartbroken, dumbfounded, and yet, understanding. A unique feeling. {nl}	Setelah sekarang kehilangan emas batangan yang diberikan kepadanya oleh wanita tua aneh, Modestas sekarang bingung. {nl} Untuk awalnya berniat untuk wasit, hanya untuk akhirnya kehilangan semua emas yang ia miliki, sambil tahu persis alasan mengapa ... Modestas merasa patah hati, tercengang, namun, pengertian. Sebuah perasaan yang unik. {nl}
QUEST_20150317_001184	Although Modestas had just lost money by entering a bet started by others, it was the first time he'd done so in his life. Modestas spent some time thinking of how to better his situation and {nl}suddenly got an idea, knowing he was certain to win his next bet. {nl}	Meskipun Modestas baru saja kehilangan uang dengan memasukkan taruhan dimulai oleh orang lain, itu adalah pertama kalinya ia melakukannya dalam hidupnya. Modestas menghabiskan beberapa waktu berpikir tentang bagaimana untuk memperbaiki situasi dan {nl} tiba-tiba punya ide, mengetahui dia yakin untuk memenangkan taruhan berikutnya. {nl}
QUEST_20150317_001185	If he could call back the soldiers from earlier and bet his horse, he could certainly earn his gold back and possibly more. {nl}Knowing this, Modestas got on his horse, and sped in the direction the soldiers left towards. {nl}{nl}With speed, Modestas soon spotted a stationary wagon. Modestas lowered his speed to check out the wagon parked on the side of the road. {nl}	Jika ia bisa menelepon kembali tentara dari sebelumnya dan yakin kudanya, dia pasti bisa mendapatkan emas kembali dan mungkin lebih. {nl} Mengetahui hal ini, Modestas naik kudanya, dan melaju ke arah tentara yang ia tinggalkan. {nl} {nl} Dengan cepat, Modestas segera melihat sebuah stationary wagon. Modestas menurunkan kecepatannya untuk memeriksa wagon yang diparkir di pinggir jalan. {nl}
QUEST_20150317_001186	Unfortunately, just as Modestas pulled up at the wagon, his horse suddenly grew agitated, forcing him off. Fortunately, because he had cut his speed and fell on muddy ground, he was not greatly injured. {nl}	Sayangnya, ketika Modestas berhenti di depan kereta tersebut, kudanya berubah menjadi galak, memaksanya untuk turun. Untungnya ia sudah menurunkan kecepatan dan jatuh di tanah yang berlumpur, sehingga ia tidak apa-apa.{nl}
QUEST_20150317_001187	Someone approached Modestas who had been lying down, hurt, and helped him get back on his feet. He turned out to be one of the people standing on the side, the wagon owner. {nl}The man who helped Modestas uttered with relief, {nl}'I am glad you're not too hurt. Your horse also didn't hurt himself tripping over that pit.'{nl}Modestas noticed a well-hidden pit where he pointed. {nl}The wagon owner continued.{nl}	Seseorang mendekati Modestas yang telah berbaring, sakit, dan membantunya mendapatkan kembali berdiri. Dia ternyata menjadi salah satu orang yang berdiri di samping, pemilik wagon. {nl} Orang yang membantu Modestas diucapkan dengan lega, {nl} 'aku senang Kamu tidak terlalu sakit. kuda Kamu juga tidak menyakiti dirinya sendiri tersandung lubang itu. "{nl} Modestas melihat lubang yang tersembunyi di mana ia menunjuk. {nl} Pemilik wagon melanjutkan. {nl}
QUEST_20150317_001188	'My horse became injured here and can no longer pull my wagon. It's just an empty wagon, but at any rate, it won't be going anywhere for a while. That's why I have a proposition. Won't you sell me your horse? I believe, with a healthy horse pulling the wagon, even my injured horse can help pull it in some way.'{nl}	Kuda aku menjadi terluka di sini dan tidak bisa lagi menarik wagon aku. Ini hanya sebuah wagon kosong, tapi pada setiap tingkat, itu tidak akan ke mana-mana untuk sementara waktu. Itulah mengapa aku memiliki sebuah proposisi. tidak akan Kamu menjual kuda Kamu? aku percaya, dengan kuda yang sehat menarik wagon, bahkan kuda terluka aku dapat membantu menariknya dalam beberapa cara. '{nl}
QUEST_20150317_001189	It was an unexpected suggestion, but Modestas needed the horse to quickly find and catch up to the soldiers. He immediately refused the offer.{nl}The wagon owner tried to explain there was no way his injured horse can pull the wagon alone, but Modestas was not persuaded. After his repeated refusal, the wagon owner offered a new suggestion.{nl}'Then let's do this. What if you buy my wagon? I will sell it for cheap. Since my injured horse can't pull the wagon, it will be better off in your hands.'{nl}	Itu saran yang tak terduga, tapi Modestas memerlukan kuda untuk cepat menemukan dan mengejar tentara. Dia segera menolak tawaran itu. {nl} Pemilik wagon mencoba menjelaskan tidak ada cara kuda terluka dapat menarik wagon saja, tetapi Modestas tidak terbujuk. Setelah penolakan berulang-ulang, pemilik wagon menawarkan saran baru. {nl} 'Kemudian mari kita lakukan ini. Bagaimana jika Kamu membeli wagon aku? Aku akan menjualnya untuk murah. Sejak kuda terluka aku tidak bisa menarik wagon, itu akan lebih baik di tangan Kamu. '{nl}
QUEST_20150317_001190	Modestas could see that the wagon was very durable, good-looking and has been well cared for. However, he had no immediate need for a wagon, so he hesitated. {nl}In addition, Modestas had no money now; no matter how low the wagon owner went, he did not have the money to buy it. {nl}	Modestas bisa melihat bahwa gerobak itu sangatlah kokoh, dan terlihat baik, juga terawat baik. Bagaimanapun, tetapi ia tidak memiliki kebutuhan mendesat akan gerobak, sehingga ia mengalami keraguan. {nl} Sebagai tambahan, Modestas tidak memiliki uang sekarang; Seberapa murah pemilik gerobak ingin menjualnya pun, ia tidak memiliki uang untuk membelinya. {nl}
QUEST_20150317_001191	The human heart sure can be an amusing thing. {nl}Modestas, deciding the wagon was worth buying but lacking the money to do so, decided he could use his impending victory to win the wagon for free. {nl}So he proposed a bet with the wagon master, risking his own horse. {nl}Naturally, Modestas won. {nl}	Hati manusia sudah pasti sesuatu yang dapat menghibur. {nl} Modestas, mumutuskan bahwa gerobak itu layak untuk dibeli, tetapi ia kekurangan uang untuk membelinya, Ia memutuskan bahwa dapat menggunakan kemenangannya yang berikutnya untuk mendapatkan gerobak itu secara gratis. {nl} Sehingga ia mengusulkan sebuah pertaruhan dengan pemilik gerobak dan mempertaruhkan kuda miliknya. {nl} Tentu saja Modestas menang. {nl}
