QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20150317_004404	Defeat Denoptic	Kalahkan Denoptic
QUEST_LV_0100_20150317_004405	Talk to Laudi	Bicara pada Laudi
QUEST_LV_0100_20150317_004406	It seems that Laudi has something to say to you. Talk to Archaeologist Laudi again.	Sepertinya Laudi punya sesuatu yang akan disampaikan. Bicara pada Archaeologist Laudi lagi.
QUEST_LV_0100_20150317_004407	Defeat the monsters that abide near the place where Archaeologist Laudi will do his research	Kalahkan monster yang berada di sekitar tempat Archaeologist Laudi akan melakukan penelitiannya.
QUEST_LV_0100_20150317_004408	Archaeologist Laudi is asking you to defeat the monsters. Defeat the monsters at Odega Uphill and return to Laudi.	Archaeologist Laudi memintamu untuk mengalahkan monster. Kalahkan monster di Odega Uphill dan kembali pada Laudi.
QUEST_LV_0100_20150317_004409	Now, Archaeologist Laudi can do his research safely. Return to Laudi.	Kini, Archaeologist Laudi bisa melakukan penelitiannya dengan aman. Kembali pada Laudi.
QUEST_LV_0100_20150317_004410	There is a stone pillar standing in the middle of the way to Alkune Stairs. What would happen when you examined it?	Ada pilar batu di tengah perjalanan menuju Alkune Stairs. Apa yang terjadi ketika kamu memeriksanya?
QUEST_LV_0100_20150317_004411	Collect the old inheritance	Kumpulkan Old Inheritance
QUEST_LV_0100_20150317_004412	Some other stone pillars appeared while you were examining the pillar! Break these pillars!	Tiang batu yang lain muncul ketika kamu memeriksanya! Hancurkan tiang-tiang ini!
QUEST_LV_0100_20150317_004413	Obtained %s by destroying the stone pillars	Mendapatkan %s dari menghancurkan tiang batu.
QUEST_LV_0100_20150317_004414	There is a stone pillar when you go up the Alkune stairs. Examine the pillar.	Ada tiang batu ketika kamu pergi ke Alkune Stairs. Periksa tiang itu.
QUEST_LV_0100_20150317_004415	Defeat the monster that suddenly appeared	Kalahkan monster yang tiba-tiba muncul.
QUEST_LV_0100_20150317_004416	As you examined the pillar, monsters suddenly appeared! Defeat them.	Ketika kamu memeriksa tiang, monster tiba-tiba muncul! Kalahkan mereka.
QUEST_LV_0100_20150317_004417	Examine the pillar again	Periksa tiangnya lagi.
QUEST_LV_0100_20150317_004418	You have defeated all the monsters. Examine the pillar again.	Kamu telah mengalahkan semua monster. Periksa tiangnya lagi.
QUEST_LV_0100_20150317_004419	Defeat Wendigo	Mengalahkan Wendigo
QUEST_LV_0100_20150317_004420	Defeat Woodfung	Mengalahkan Woodfung
QUEST_LV_0100_20150317_004421	Defeat Dumaro	Mengalahkan Dumaro
QUEST_LV_0100_20150317_004422	There is an unknown pole on the upper side of Overlong Bridge Valley.  Investigate the pole. 	Ada unknown pole di bagian atas Overlong Bridge Valley. Investigasi pole tersebut.
QUEST_LV_0100_20150317_004423	As you touched the pole, Shnayim appeared! Take the artifacts away from Shnayim!	Ketika kamu menyentuh pole, Shnayim muncul! Ambil artifact dari Shnayim!
QUEST_LV_0100_20150317_004424	Obtain %s by defeating Shnayim	Mendapatkan %s dengan mengalahkan Shnayim
QUEST_LV_0100_20150317_004425	Defeat Shnayim	Kalahkan Shnayim
QUEST_LV_0100_20150317_004426	Talk to Vio	Bicara pada Vio
QUEST_LV_0100_20150317_004427	Supply Commander Vio is looking for one of his men. Talk to Vio.	Supply Commander Vio sedang mencari prajuritnya. Bicara pada Vio.
QUEST_LV_0100_20150317_004428	Find Mercenary Lindt	Temukan Mercenary Lindt
QUEST_LV_0100_20150317_004429	Vio wants you to find his men who ran away somewhere. Go to Apynys Habitat where Lindt is likely to be at.	Vio menginginkanmu menemukan prajuritnya yang lari ke suatu tempat. Pertama, pergi ke Apynys Habitat dimana Lindt seharusnya berada.
QUEST_LV_0100_20150317_004430	Talk to Mercenary Lindt	Berbicara pada Mercenary Lindt
QUEST_LV_0100_20150317_004431	The man who is leaning on the tree and taking a rest seems to be Lindt. Talk to him since he seems badly hurt.	Seseorang yang bersender di pohon dan istirahat sepertinya  Lindt. Bicara padanya karena ia tampak terluka parah.
QUEST_LV_0100_20150317_004432	Retrieve the supplies which Wendigo stole	Mendapatkan suplai yang Wendigo curi
QUEST_LV_0100_20150317_004433	Mercenary Lindt told you that he was chasing after a Wendigo for stolen supplies instead of running away from the monsters. Defeat the Wendigo and retrieve the stolen supplies for Lindt.	Mercenary Lindt memberitahumu bahwa ia mengejar Wendigo untuk suplai curiannya, bukan lari dari monster. Kalahkan Wendigo dan dapatkan suplai curian untuk Lindt.
QUEST_LV_0100_20150317_004434	Give the supplies to Lindt	Memberikan supply pada Lindt
QUEST_LV_0100_20150317_004435	You have retrieved all the supplies that were stolen from Wendigo. Give them to Lindt.	Kamu telah mendapatkan semua suplai yang dicuri Wendigo. Berikan pada Lindt.
QUEST_LV_0100_20150317_004436	Obtained %s after defeating Wendigo	Mendapatkan %s setelah mengalahkan Wendigo
QUEST_LV_0100_20150317_004437	Obtained the supplies from Wendigo	Mendapatkan suplai dari Wendigo
QUEST_LV_0100_20150317_004438	Mercenary Lindt is badly hurt. Talk to Lindt again.	Mercenary Lindt terluka parah. Bicara pada Lindt lagi.
QUEST_LV_0100_20150317_004439	Collect Canyon Apynys	Kumpulkan Canyon Apynys
QUEST_LV_0100_20150317_004440	Mercenary Lindt's wounds are worse than you expected. You have to get him Canyon Apynys.	Keadaan Mercenary Lindt lebih buruk dari yang kamu bayangkan. Bawakan dia Canyon Apynys.
QUEST_LV_0100_20150317_004441	You have enough Canyon Apynys. Return to Mercenary Lindt.	Kamu telah memiliki cukup Canyon Apynys. Kembali ke Mercenary Lindt.
QUEST_LV_0100_20150317_004442	Mercenary Lindt's face doesn't look well. Ask him if he is okay.	Mercenary Lindt terlihat tidak sehat. Tanya apakah dia baik-baik saja.
QUEST_LV_0100_20150317_004443	Mercenary Lindt can barely move due to the effects of the medicine. Defeat the monsters nearby for Lindt.	Mercenary Lindt tidak bisa bergerak karena efek obat. Kalahkan monster yang mendekati Lindt.
QUEST_LV_0100_20150317_004444	You defeated all the monsters nearby. Report to Mercenary Lindt again.	Kamu telah mengalahkan monster di sekitarnya. Lapor ke Lindt.
QUEST_LV_0100_20150317_004445	Talk to Mercenary Eta	Bicara pada Mercenary Eta
QUEST_LV_0100_20150317_004446	You found Mercenary Eta. Pass him Vio's orders for him to return to the camp.	Kamu menemukan Mercenary Eta. Berikan ia pesan Vio untuk kembali ke camp.
QUEST_LV_0100_20150317_004447	Collect the poison of Woodfung and the stone with the vigor at Alkune Hills.	Kumpulkan Poison of Woodfung dan Stone with Vigor di Alkune Hills.
QUEST_LV_0100_20150317_004448	Eta is saying that he will not return to the camp unless he defeats Saugas. You better send him to the camp as quickly as possible. Get the poison of Woodfung and the stone with the vigor at Alkune stair way.	Eta berkata bahwa ia tidak akan kembali ke camp kecuali ia mengalahkan Saugas. Sebaiknya kamu suruh dia kembali ke camp secepatnya. Dapatkan Poison of Woodfung dan Stone with Vigor di Alkune Stairway.
QUEST_LV_0100_20150317_004449	You obtained the stone with the vigor and the poison of Woodfung. Return to Eta.	Kamu mendapatkan Stone with Vigor dan Poison of Woodfung. Kembali ke Eta.
QUEST_LV_0100_20150317_004450	Eta needs the poison of Woodfung and the stone with the vigor.	Eta membutuhkan Poison of Woodfung dan Stone with Vigor.
QUEST_LV_0100_20150317_004451	Get the poison of Woodfung	Dapatkan poison of Woodfong
QUEST_LV_0100_20150317_004452	Eta is saying that he will not return to the camp unless he defeats Saugas. You better send him to the camp as quickly as possible. Get the poison of Woodfung at Alkune stair way.	Eta berkata bahwa ia tidak akan kembali ke camp kecuali ia mengalahkan Saugas. Sebaiknya kamu suruh dia kembali ke camp secepatnya. Dapatkan poison of Woodfung di Alkune Stairway.
QUEST_LV_0100_20150317_004453	You obtained the stone with the vigor and the poison of Woodfung. Return to Eta.	Kamu mendapatkan Stone with Vigor dan Poison of Woodfong. Pergi kembali ke Eta.
QUEST_LV_0100_20150317_004454	Obtained %s after defeating Woodfung	Mendapatkan %s setelah mengalahkan Woodfung
QUEST_LV_0100_20150317_004455	Obtained the poison of Woodfung	Mendapatkan poison of Woodfung
QUEST_LV_0100_20150317_004456	You are all ready to lure Saugas. Talk to Eta who is confident.	Kamu telah siap memancing Saugas. Bicara pada Eta.
QUEST_LV_0100_20150317_004457	Put to stone with the vigor on Alkune Stairway.	Letakkan Stone with Vigor di Alkune Stairway.
QUEST_LV_0100_20150317_004458	Mercenary Eta told you to put the stone on Alkune Stairway to lure Saugas. Is he trying to defeat Saugas by himself?	Eta memberitahumu untuk meletakkan Stone di Alkune Stairway untuk memancing Saugas. Apakah ia mau mengalahkan Saugas sendirian?
QUEST_LV_0100_20150317_004459	The Sauga took the stone and ran away! Return to Eta and ask him.	Saugas mengambil batunya dan lari! Kembali ke Eta dan tanya.
QUEST_LV_0100_20150317_004460	Defeat the Sauga	Kalahkan Saugas
QUEST_LV_0100_20150317_004461	Eta can't believe that a group of Sauga ran away with the stone. Talk to Eta again.	Eta tidak percaya Saugas lari dengan batunya. Bicara pada Eta lagi.
QUEST_LV_0100_20150317_004462	Lure Saugas from the right side of Alkune Stairway	Pancing Saugas dari sisi kanan Alkune Stairway
QUEST_LV_0100_20150317_004463	Mercenary Eta is saying that it can't be true that the Sauga just ran away with the stone. Let's put the stones on the deepest place of Long Bridge Valley where Saugas often shows up.	Mercenary Eta berkata tak mungkin Saugas lari dengan batunya. Ayo letakkan batu di tempat yang lebih dalam di Long Bridge Valley dimana Saugas biasanya muncul.
QUEST_LV_0100_20150317_004464	Saugas didn't show up, and another group of Sauga appeared instead. Suggest to Eta to give up and go back to the camp.	Saugas tidak muncul, namun Sauga muncul. Sarankan Eta untuk menyerah dan kembali ke camp.
QUEST_LV_0100_20150317_004465	Defeat the monsters that are rushing in	Kalahkan monster yang memaksa masuk
QUEST_LV_0100_20150317_004466	Talk to Vio	Bicara pada Vio
QUEST_LV_0100_20150317_004467	Eta told you that he will return to the camp. Tell this to Vio.	Eta mengatakan bahwa ia akan kembali ke camp. Beri tahu Vio.
QUEST_LV_0100_20150317_004468	Eta promised you that he will return to the camp. Tell this to Vio.	Eta berjanji padamu bahwa ia akan kembali ke camp. Beri tahu Vio.
QUEST_LV_0100_20150317_004469	Finally, it seems that you can enter into the sanctum that will lead you to the inheritance of the Great King Zachariel. Talk to Gustas Jonas.	Akhirnya, kamu bisa memasuki sanctum yang akan mengarahkanmu ke warisan Zachariel. Bicara pada Gustas Jonas.
QUEST_LV_0100_20150317_004470	Release the seal inside the sanctum	Lepas seal di dalam sanctum
QUEST_LV_0100_20150317_004471	The sanctum was the first seal to protect the inheritance of the Great King Zachariel. Go into the sanctum and unleash the seal.	Sanctum adalah seal pertama untuk melindungi warisan Zachariel. Pergi ke sanctum dan lepas seal.
QUEST_LV_0100_20150317_004472	You finally released the first seal. Talk to Gustas Jonas.	Kamu berhasil melepas first seal. Bicara pada Gustas Jonas.
QUEST_LV_0100_20150317_004473	Investigate the Miners' Village(1)	Mining town canvassing (1)
QUEST_LV_0100_20150317_004474	Arrival at the Miners' Village	Kehadiran Mining Town
QUEST_LV_0100_20150317_004475	You must enter the Crystal Mine in pursuit of the goddess' revelation, but it seems as if the Miners' Village has been attacked by the Vubbes. Rush to the Miners' Village!	Untuk pergi ke mining town, ubah revelation of Goddess. Ubah mining town yang telah diserang oleh Bouvet. Cepat kembali ke mining town!
QUEST_LV_0100_20150317_004476	Go to the Miners' Village Mayor and find out about the village's situation.	Pergi ke Miner's Village Mayor untuk mengetahui keadaan village.
QUEST_LV_0100_20150317_004477	Talk to the Miners' Village Mayor	Bicara dengan kepada desa Miners' Village
QUEST_LV_0100_20150317_004478	Talk to the Hunter	Bicara pada Hunter
QUEST_LV_0100_20150317_004479	You need to go to the Crystal Mine as told by the Goddess in the Bishop's dream but you can't just leave the refugees. Help the angry hunter.	Kamu harus pergi ke Crystal Mines seperti yang Goddess katakan di mimpi Bishop tapi kamu tidak bisa meninggalkan pengungsi. Bantu hunter yang lapar.
QUEST_LV_0100_20150317_004480	The Hunter says that monsters stole all the relief supplies meant for the villagers. {nl}Try to pick up at least what's left on the road.	Hunter berkata bahwa monster mencuri semua barang-barang untuk penduduk desa. Coba ambil yang tersisa di jalan.
QUEST_LV_0100_20150317_004481	Gathered all the relief supplies. Talk to the Hunter. 	Kumpulkan semua relief supplies. Bicara pada hunter.
QUEST_LV_0100_20150317_004482	Talk to Mine Manager Brinker	Bicara pada Mine Manager Brinker
QUEST_LV_0100_20150317_004483	You need to go to the Crystal Mine as told by the goddess in the bishop's dream but you can't just leave the refugees. Mine Manager Brinker is standing by the wall with one hand on the wall. Ask what is happening.	Kamu harus pergi ke Crystal Mines seperti yang Goddess katakan di mimpi bishop tapi kamu tidak bisa meninggalkan pengungsi. Mine Manager Brinker berdiri di dinding dengan satu tangannya. Tanyakan apa yang terjadi.
QUEST_LV_0100_20150317_004484	Collect Reinforcement Stones from the rubbles nearby	Kumpulkan batu untuk mengganjal dinding dari puing-puing di sekitar.
QUEST_LV_0100_20150317_004485	The wall may collapse if Brinker releases his hands off the wall. Let's look for some rocks nearby to block the holes on the wall for Brinker.	Dinding mungkin akan runtuh jika Brinker melepas tangannya dari dinding. Cari beberapa batu untuk menghalang lobang di dinding untuk Brinker.
QUEST_LV_0100_20150317_004486	Give the Reinforcement Stones to Brinker	Berikan batu-batu kepada Brinker
QUEST_LV_0100_20150317_004487	Give the stones you collected to Brinker.	Berikan batu yang kamu kumpulkan pada Brinker.
QUEST_LV_0100_20150317_004488	Repaired the wall but Brinker still looks anxious. Talk to him.	Perbaiki dinding tapi Brinker masih terlihat cemas. Bicara padanya.
QUEST_LV_0100_20150317_004489	Defeat the monsters nearby	Bunuh monster di sekitarnya.
QUEST_LV_0100_20150317_004490	Defeat the monsters nearby so that Brinker can return safely.	Bunuh monster di sekitarnya jadi Brinker bisa kembali dengan selamat.
QUEST_LV_0100_20150317_004491	Tell Brinker that it is safe	Beri tahu Brinker semua sudah aman
QUEST_LV_0100_20150317_004492	Tell Brinker that he can return safely. 	Beri tahu Brinker ia bisa kembali dengan selamat.
QUEST_LV_0100_20150317_004493	Talk to the Healer Lady	Bicara pada Healer Lady
QUEST_LV_0100_20150317_004494	You need to go to the Crystal Mines as told by the goddess in the bishop's dream but you can't just leave the refugees. Help the Healer Lady to treat the injured people.	Kamu harus pergi ke Crystal Mines seperti yang Goddess katakan di mimpi bishop tapi kamu tidak bisa meninggalkan pengungsi. Bantu healer lady merawat orang-orang yang terluka.
QUEST_LV_0100_20150317_004495	Bring the refugees	Membawa para pengungsi
QUEST_LV_0100_20150317_004496	Healer Lady is asking a favor for you to bring the other refugees. Bring the couple near the Statue of Goddess Zemyna to the Healer Lady.	Healer Lady meminta bantuanmu untuk membawa para pengungsi. Bawa beberapa di dekat Statue of Goddess Zemyna ke Healer Lady.
QUEST_LV_0100_20150317_004497	Turn over the refugees to the Healer Lady	Kembalikan pengungsi ke Healer Lady
QUEST_LV_0100_20150317_004498	Brought back the refugees safely. Talk to the Healer Lady. 	Bawa pengungsi ke tempat aman. Bicara pada Healer Lady.
QUEST_LV_0100_20150317_004499	Tell the Healer Lady to go back to the village again.	Bicara pada Healer Lady untuk kembali ke village kembali.
QUEST_LV_0100_20150317_004500	Defeat the monsters	Bunuh semua Monster
QUEST_LV_0100_20150317_004501	The lady says she can't go back with her patients because there are too many monsters. Defeat the monsters for her. 	Gadis itu berkata tidak dapat kembali bersama pasien karena banyak monster. Kalahkan monster untuk membantunya.
QUEST_LV_0100_20150317_004502	Defeated the monsters. Tell the lady to go back to the village. 	Telah mengalahkan monster. Beritahu gadis itu untuk kembali ke village.
QUEST_LV_0100_20150317_004503	Talk to the Miners' Village Mayor	Bicara dengan Miner's Village Mayor
QUEST_LV_0100_20150317_004504	Talk to the mayor again to enter the Crystal Mines. 	Bicara lagi pada Mayor untuk masuk Crystal Mines.
QUEST_LV_0100_20150317_004505	Rescue Vaidotas who is kidnapped by the Vubbes	Selamatkan Vaidotas yang diculik para Vubbe
QUEST_LV_0100_20150317_004506	The goddess' revelation is important but you can't leave the kidnapped villagers. To save the villagers trapped in the Crystal Mine, go to the Vubbe Outpost and save Vaidotas first.	Revelation of Goddess itu penting namun kita tidak bisa membiarkan penduduk diculik. Untuk menyelamatkan warga yang terjebak di Mine, pergi ke markas Vubbe dan selamatkan Vaidotas dahulu.
QUEST_LV_0100_20150317_004507	Intercept the Vubbe raid	Blok Gerombolan Vubbe
QUEST_LV_0100_20150317_004508	The Mayor seems to have a problem. Talk to him.	Mayor sepertinya sedang ada masalah. Bicara padanya.
QUEST_LV_0100_20150317_004509	Defeat the Vubbes who invaded the village	Singkirkan Vubbe yang menguasai village
QUEST_LV_0100_20150317_004510	Vubbes are taking over the village! Let's drive them out.	Vubbes menguasai village! Ayo kalahkan mereka.
QUEST_LV_0100_20150317_004511	Seems like you drove out the Vubbes. Inform the Village Mayor about it.	Kamu telah mengusir para Vubbe. Beritahu Village Mayor tentang itu.
QUEST_LV_0100_20150317_004512	Defeat the Vubbes	Kalahkan semua Vubbe
QUEST_LV_0100_20150317_004513	You found Vaidotas. Discuss with him on how you can get into the Mines.	Kamu menemukan Vaitodas. Tanyakan padanya cara masuk ke Mines.
QUEST_LV_0100_20150317_004514	Defeat the Vubbes	Kalahkan para Vubbe
QUEST_LV_0100_20150317_004515	There's a suspicious treasure box. Go and open it.	Ada treasure box yang mencurigakan. Temukan dan bukalah.
QUEST_LV_0100_20150317_004516	Red Vubbe Fighter that abruptly appeared	Red Vubbe Fighter tiba-tiba muncul appeared
QUEST_LV_0100_20150317_004517	Red Vubbe Fighter appeared when you kicked the box! Defeat it.	Red Vubbe Fighter appeared when you kicked the box! Please throw it away.
QUEST_LV_0100_20150317_004518	There were no kidnapped people but only Vubbes. You better go back to Vaidotas.	There were no kidnapped people but only Vubbes. You better go back to Vaitodas.
QUEST_LV_0100_20150317_004519	You need to remove the wagons in order to enter the mines. Talk to Vaidotas about how to remove them.	Kamu harus menghancurkan gerobak untuk masuk ke mines. Bicara pada Vaitodas untuk cara menghancurkannya.
QUEST_LV_0100_20150317_004520	Defeat any Vubbe that assembles after hearing the explosives	Kalahkan vubbe yang mencoba masuk setelah ledakan. .
QUEST_LV_0100_20150317_004521	Vaidotas says the wagons can be destroyed with explosives. But the Vubbes could attack when they hear the explosives, so you must be cautious. 	Vaidotas bilang gerobak dapat di hancurkan dengan ledakan. Tapi akibatnya akan ada Vubbbe yang datang, jadi berhati-hatilah.
QUEST_LV_0100_20150317_004522	Enter Crystal Mine 1st Gallery	Masuk Crystal Mine 1st Gallery
QUEST_LV_0100_20150317_004523	You removed the wagons and can finally enter the Crystal Mines. Meet Vaidotas at Crystal Mine 1F.	Kamu telah membereskan jalan masuk ke Crystal Mines. Temui Vaitodas di Crystal Mine 1st Gallery.
QUEST_LV_0100_20150317_004524	Talk to Kind Owl Sculpture	Bicara pada Kind Owl Sculpture
QUEST_LV_0100_20150317_004525	Talk to Kind Owl Sculpture	Bicara pada Kind Owl Sculpture
QUEST_LV_0100_20150317_004526	Investingate the upper side of the field	Investigasi bagian atas lapangan
QUEST_LV_0100_20150317_004527	The Kind Owl	The Kind Owl
QUEST_LV_0100_20150317_004528	has a problem due to a reason.	memiliki masalah karena sesuatu.
QUEST_LV_0100_20150317_004529	A gigantic monster is blocking the road and sleeping on the road on the uppder side of the field. Return to the Kind Owl.	Monster besar menghalangi jalan dan tertidur di bagian atas lapangan. Kembali ke Kind Owl.
QUEST_LV_0100_20150317_004530	Talk to the Kind Owl again to solve the problem.	Bicara pada Kind Owl lagi untuk menyelesaikan masalah.
QUEST_LV_0100_20150317_004531	Defeat Elloguas nearby	Kalahkan Elloguas di sekitar
QUEST_LV_0100_20150317_004532	He knows an owl that can solve the problem but, he can't remember clearly due to Forza of Black Grieva. Defeat the Elloguas nearby for the kind owl.	Ia tahu sebuah owl yang bisa menyelesaikan masalah, tapi ia tidak bisa mengingat dengan jelas karena Forza of Black Grieva. Kalahkan Elloguas di dekat Kind Owl.
QUEST_LV_0100_20150317_004533	For the Kind Owl	Untuk Kind Owl.
QUEST_LV_0100_20150317_004534	remember the owl to solve the problem, you defeated Elloguas nearby. Return to the Kind Owl.	Ingatlah owl untuk menyelesaikan masalah, kamu telah mengalahkan Elloguas di sekitar. Kembali ke Kind Owl.
QUEST_LV_0100_20150317_004535	Defeat Elloguas	Mengalahkan Elloguas
QUEST_LV_0100_20150317_004536	Talk to the Unstable Owl Sculpture	Bicara pada unstable Owl Sculpture
QUEST_LV_0100_20150317_004537	Talk to the Unstable Owl Sculpture to ask for a way to move Sequoia from blocking the road.	Bicara pada unstable Owl Sculpture untuk menanyakan cara memindahkan Sequoia yang menghalangi jalan.
QUEST_LV_0100_20150317_004538	Collect the divine wood fragments 	Kumpulkan divine wood fragment
QUEST_LV_0100_20150317_004539	To move Sequoia from blocking the road, the unstable owl told you to face it with the divine power. Go get divine wood fragments from Broken Owl Sculpture.	Untuk memindahkan Sequoia yang menghalangi jalan, unstable owl menyuruhmu untuk menghadapinya dengan divine power. Dapatkan divine wood fragment dari broken owl sculpture.
QUEST_LV_0100_20150317_004540	You have collected enough divine wood fragments to move Sequoia from blocking the road. Return to unstable owl.	Kamu telah mengumpulkan cukup divine wood fragment untuk memindahkan Sequoia yang menghalangi jalan. Kembali ke unstable owl.
QUEST_LV_0100_20150317_004541	The unstable owl seems little confused, but it knows the way to move Sequoia from blocking the road. Talk to the unstable owl again.	Unstable owl seperti bingung, namun ia tahu cara memindahkan Sequoia yang menghalangi jalan. Bicara pada unstable owl lagi.
QUEST_LV_0100_20150317_004542	Collect the Essence of Spirits	Kumpulkan Essence of Spirit
QUEST_LV_0100_20150317_004543	The unstable owl can't just tell you how to move Sequoia from blocking the road for nothing. It told you to get the Essence of Spirits back from the monsters. Go get the Essence back from the monsters.	Unstable owl tidak akan memberitahumu cara memindahkan Sequoia dari menghalangi jalan secara gratis. Ia memerintahkanmu untuk mendapatkan Essence of Spirit dari monster. Dapatkan Essence dari monster.
QUEST_LV_0100_20150317_004544	You have retrieved the Essence of Spirits. Let's return to the unstable owl.	Kamu telah mendapatkan Essence of Spirits. Kembali pada unstable owl.
QUEST_LV_0100_20150317_004545	The Essence of Spirits	Essence of Spirits
QUEST_LV_0100_20150317_004546	You have enough divine wood fragments. Return to unstable Owl.	Kamu memiliki cukup divine wood fragment. Kembali ke unstable Owl.
QUEST_LV_0100_20150317_004547	Move Sequoia	Pindahkan Sequoia
QUEST_LV_0100_20150317_004548	To move Sequoia from blocking the road, use the sharp wood stick. Open Inventory near Sequoia and use it.	Untuk memindahkan Sequoia yang menghalangi jalan, gunakan sharp wood stick. Buka Inventory di dekat Sequoia dan gunakan.
QUEST_LV_0100_20150317_004549	Sequoia was surprised by the sharp stick and ran away.	Sequoia terkejut karena sharp stick dan lari.
QUEST_LV_0100_20150317_004550	Sequioa ran away, but the unstable owl seems to be nervous. Talk to Unstable Owl again.	Sequoia lari, tapi unstable owl sepertinya gugup. Bicara pada Unstable Owl lagi.
QUEST_LV_0100_20150317_004551	Find the Guide Owl	Temukan Guide Owl
QUEST_LV_0100_20150317_004552	The Unstable Owl told you that when Sequoia ran away, something bad seemed to happen to the Guide Owl. You better go see the Guide Owl.	Unstable Owl mengatakan bahwa ketika Sequoia lari, sesuatu yang buruk terjadi pada Guide Owl. Sebaiknya kamu pergi temui Guide Owl.
QUEST_LV_0100_20150317_004553	Talk to the Guide Owl.	Bicara pada Guide Owl.
QUEST_LV_0100_20150317_004554	The Guide Owl seems to be very angry. Talk to the Guide Owl.	Guide Owl sepertinya sangat marah. Bicara pada Guide Owl.
QUEST_LV_0100_20150317_004555	Find the Grave Protector Owl	Temukan Grave Protector Owl
QUEST_LV_0100_20150317_004556	The Guide Owl told you that if Sequoia doesn't get defeated, all owls will be destroyed by Sequoia and they can't go meet the sculptor since they can't be guided. To defeat Sequoia, you should go meet the Grave Protector Owl.	Guide Owl mengatakan bahwa jika Sequoia tidak dikalahkan, semua owl akan dihancurkan oleh Sequoia dan mereka tidak bisa bertemu dengan sculptor karena tidak bisa dibimbing. Untuk mengalahkan Sequoia, kamu harus bertemu Grave Protector Owl.
QUEST_LV_0100_20150317_004557	Talk to the Grave Protector Owl	Bicara pada Grave Protector Owl
QUEST_LV_0100_20150317_004558	Defeat the flame of Sequoia	Kalahkan flame of Sequoia
QUEST_LV_0100_20150317_004559	You saved the Grave Protector Owl that was being attacked by the flame of Sequoia. Ask the owl how to defeat Sequoia.	Kamu menyelamatkan Grave Protcetor Owl yang diserang oleh flame of Sequoia. Tanya owl cara mengalahkan Sequoia.
QUEST_LV_0100_20150317_004560	Obtain Essence of Spirits from the specters at the Entrance of Kateen Forest	Mendapatkan Essence of Spirit dari specter di Katyne Forest
QUEST_LV_0100_20150317_004561	The Grave Protector Owl told you that in order to make a blow to Sequoia, you need the Essence of Spirits.  Collect the Essences of Spirits from the specters that are hovering around the grave of the unknown warrior.	Grave Protector Owl berkata untuk membuat ledakan pada Sequoia, kamu membutuhkan Essence of Spirits. Kumpulkan Essences of Spirits dari specter yang berkeliaran di sekitar makan warrior yang tak diketahui.
QUEST_LV_0100_20150317_004562	You have enough Essences of Spirits to make a blow to Sequoia. Talk to the Grave Protector Owl Sculpture.	Kamu memiliki cukup Essences of Spirits untuk meledakan Sequoia. Bicara pada Grave Portector Owl Sculpture.
QUEST_LV_0100_20150317_004563	Talk to the Guide Owl Sculpture	Bicara pada Guide Owl Sculpture
QUEST_LV_0100_20150317_004564	Talk to the Guide Owl Sculpture	Bicara pada Guide Owl Sculpture
QUEST_LV_0100_20150317_004565	Persuade the angy owl sculpture	Bujuk angry owl sculpture
QUEST_LV_0100_20150317_004566	Persuade the angry owl sculpture that is corrupted due to the influnce of vicious power like Sequoia	Buju angry owl sculpture yang rusak karena pengaruh kekuatan jahat seperti Sequoia
QUEST_LV_0100_20150317_004567	You failed to persuade and there is no way, but to break the angry owl.  Take the fragments of the angry owl sculpture and go back to the Guide Owl.	Kamu gagal membujuk dan tidak ada jalan lain kecuali menghancurkan angry owl. Ambil fragment of angry owl sculpture dan kembali ke Guide Owl.
QUEST_LV_0100_20150317_004568	Defeat the angry owl	Kalahkan angry owl
QUEST_LV_0100_20150317_004569	The Grave Protector Owl told you that if you use the power in the Essences of Spirits, you may defeat Sequoia. Return to the Guide Owl.	Grave Protector Owl berkata jika kamu menggunakan power pada Essences of Spirits, kamu bisa mengalah Sequoia. Kembali ke Guide Owl.
QUEST_LV_0100_20150317_004570	Use the stick with the vigor to Sequoia	Gunakan stick with vigor pada Sequoia
QUEST_LV_0100_20150317_004571	You put the power of sprits into the sharp stick to make the stick with the vigor. Use the stick with the vigor to Sequoia.	Kamu meletakan power of spirit di sharp stick untuk membuat stick with vigor. Gunakan stick with vigor pada Sequoia.
QUEST_LV_0100_20150317_004572	Sequoia ran away as you used the stick with the vigor to it. Let's go back to the Guide Owl.	Sequoia lari ketika kamu menggunakan stick with vigor. Kembali ke Guide Owl.
QUEST_LV_0100_20150317_004573	Talk to the Desperate Owl Sculpture	Bicara pada Desperate Owl Sculpture
QUEST_LV_0100_20150317_004574	Sequoia ran away to the direction where the Desperate Owl Sculpture is at. The Desperate Owl may be in danger.  Hurry to the Desperate Owl.	Sequoia lari ke ara Desperate Owl Sculpture berada. Desperate Owl mungkin dalam baha. Cepat pergi ke Desperate Owl.
QUEST_LV_0100_20150317_004575	Rescue Desperate Owl Sculpture	Selamatkan Desperate Owl Sculpture
QUEST_LV_0100_20150317_004576	When Sequoia was about to break the Desperate Owl, you were able find it right before. Help the Desperate Owl to stand up.	Ketika Sequoia ingin menghancurkan Desperate Owl, kamu berhasil menemukannya terlebih dahulu. Bantu Desperate Owl berdiri.
