ITEM_20150317_000001	Empty_helmet	없음_helmet	Empty_Helmet
ITEM_20150317_002168	Matsum Stem	메슘의 줄기	Matsum Stem 
ITEM_20150317_002169	People sometimes boil this stem to make a drink that curbs hunger. {nl}Obtained from Matsums.	배고픈 사람들은 이것을 달여마시기도 합니다. 메슘에게서 획득합니다.	Orang yang lapar memakannya setelah direbus. Didapat dari Matsum.
ITEM_20150317_002170	Merog Heart	메로그의 심장	Merog Heart 
ITEM_20150317_002171	Not used as a food, but often used for magic research. {nl}Obtained from Merogs.	이것을 음식으로 먹지는 않습니다. 마법적인 연구에 많이 사용됩니다. 메로그에게서 획득할 수 있습니다.	Ini bukan makanan. Banyak digunakan untuk penelitian Magic. Didapat dari Merog.
ITEM_20150317_002172	Chafperor Wing	체이퍼러의 날개	Chafperor Wing 
ITEM_20150317_002173	A transparent wing. {nl}Obtained from Chafperors.	투명한 날개입니다. 체이퍼러에게서 획득합니다.	Sepasang sayap transparan. Didapat dari Chafperor.
ITEM_20150317_002174	Catacomb Leafbug Shell	카타콤 잎방개의 껍질	Catacomb Leafbug Shell 
ITEM_20150317_002175	Thin back shell. A faint pattern is visible. {nl}Obtained from Catacomb Leafbugs.	얇은 등껍질입니다. 희미한 무늬를 볼 수 있습니다. 카타콤 잎방개에게서 획득합니다.	Kulit punggung yang tipis. Pola yang aneh dapat terlihat. Didapat dari Catacomb Leafbug.
ITEM_20150317_002176	Candle	양초	Candle 
ITEM_20150317_002177	A lantern would be nice, but a candle can also be a great source of light.	랜턴을 쓸 수 있다면 좋겠지만 양초도 훌륭한 등불이 될 수 있습니다.	Sebuah lentera akan bagus, tapi lilin juga sumber cahaya yang sangat baik.
ITEM_20150317_002178	Catacomb Maggot Feeler	카타콤 구더기 더듬이	Feeler of Catacomb Maggot
ITEM_20150317_002179	Tontooth Thorn	톤투스의 가시	Tontooth Thorn 
ITEM_20150317_002180	Small but enough to inflict pain. {nl}Obtained from Tontooths.	크기는 작지만 아픔을 느끼기에는 충분합니다. 톤투스에게서 획들합니다.	Kecil tapi cukup untuk meringankan rasa sakit. Didapat dari Tontooth.
ITEM_20150317_002181	Pino Leaf	피노 잎	Pino Leaf 
ITEM_20150317_002182	A small leaf that looks like a fish scale. {nl}Obtained from Pinos.	비늘 모양의 작은 잎입니다. 피노에게서 획득합니다.	Daun kecil yang terlihat seperti sirip ikan. Didapat dari Pino.
ITEM_20150317_002183	Geppetto Stem	제페토의 줄기	Geppetto Stem 
ITEM_20150317_002184	Frequently used in bowcrafting due to its flexible properties. {nl}Obtained from Geppettos.	탄성이 뛰어나 활을 만드는데 많이 사용됩니다. 제페토에게서 획득합니다.	Sering digunakan untuk membuat Box karena elastisitasnya. Didapat dari Geppetto.
ITEM_20150317_002185	Zinute Skin	지누테의 껍질	Zinute Skin 
ITEM_20150317_002186	It shows a defined geometry. A special process is required before use due to its hardness, which is like metal. {nl}Obtained from Zinutes.	각이 잡혀진 것이 특징입니다. 금속에 가까운 단단함을 자랑하기 때문에 특수한 가공방법이 필요합니다. 지누테에게서 획득합니다.	Memiliki ujung yang tajam. Benda itu sekeras besi, dan membutuhkan perlakuan khusus. Didapat dari Zinute.
ITEM_20150317_002187	Desert Chupacabra Meat	사막 츄파카브라 고기	Desert Chupacabra Meat
ITEM_20150317_002188	Quite tough due to the muscle fibers but has a savory taste. {nl}Obtained from Desert Chupacabras.	근육이 많아 다소 질기지만 고소한 맛이 배어나옵니다. 사막 츄파카브라에게서 획득합니다.	Rasanya pedas dan kuat. Didapat dari Desert Chupacabra.
ITEM_20150317_002189	Wendigo Tooth	웬디고 이빨	Wendigo Tooth
ITEM_20150317_002190	A tooth hard enough to bite through strong wood. {nl}Obtained from Wendigos.	단단한 나무를 물어뜯을 수 있을 만큼 단단한 이빨입니다. 웬디고에게서 획득합니다.	Gigi yang kuat untuk menggigit pohon yang keras. Didapat dari Wendigo.
ITEM_20150317_002191	Sauga Core	사우가의 핵	Sauga Core 
ITEM_20150317_002192	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Saugas.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 사우가에게서 획득합니다.	Deformation Core dari sumber tenaga monster yang diubah. Dapat meledak bila terdapat kesalahan dalam penanganan. Didapat dari Sauga.
ITEM_20150317_002193	Lauzinute Skin	라우지누테의 껍질	Lauzinute Skin 
ITEM_20150317_002194	It is stronger than Zinute Skin. {nl}Obtained from Lauzinutes.	지누테의 껍질보다 더 단단합니다. 라우지누테에게서 획득합니다.	Lebih kuat dari dari Zinute Skin . Didapat dari Lauzinute.
ITEM_20150317_002195	Hogma Tooth	호그마 이빨	Hogma Tooth
ITEM_20150317_002196	Similar to a human tooth but larger. {nl}Obtained from Hogmas.	사람의 치아와 비슷한 생김새지만 크기는 더 큽니다. 호그마에게서 획득할 수 있습니다.	Mirip gigi manusia tapi lebih besar. Didapat dari Hogma.
ITEM_20150317_002197	Varv Feeler	바브 더듬이	Varv Feelers
ITEM_20150317_002198	Whether this item has any practical use is still unclear. {nl}Obtained from Varvs.	솔직히 이것을 어디에 사용하는지는 의문스럽습니다. 바브에게서 획득합니다.	Kegunaanya masih dipertanyakan. Didapat dari Varv.
ITEM_20150317_002199	Zinutekas Core	지누테카스의 핵	Core of Zinutekas
ITEM_20150317_002200	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Zinutekas.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 지누테카스에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Zinutekas.
ITEM_20150317_002201	Vesper Counterweight	베스퍼의 무게추	Vesper Counterweight 
ITEM_20150317_002202	It is still unknown as to why Vespers carry a counterweight. It certainly prevents them from flying higher. {nl}Obtained from Vespers.	베스퍼가 왜 무게추를 달고 나는지 밝혀지지 않았습니다. 하지만 그로인해 높이 날지 못하는 것은 확실합니다. 베스퍼에게서 획득합니다.	Tidak diketahui kenapa Vesper membawa sebuah pemberat. Tidak jelas juga apakah ia tidak bisa terbang karena benda ini. Didapat dari Vesper.
ITEM_20150317_002203	Vikaras Core	비카라스의 핵	Core of Vikaras
ITEM_20150317_002204	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Vikarases.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 비카리스에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Vikaras.
ITEM_20150317_002205	Shtayim Core	쉬타임의 핵	Core of Shtayim
ITEM_20150317_002206	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Shtayims.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 쉬타임에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Shtayim.
ITEM_20150317_002207	Wheelen Core	휠렌의 핵	Core of Wheelen
ITEM_20150317_002208	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Wheelens.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 휠렌에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Wheelen.
ITEM_20150317_002209	Rusrat Core	러스라트의 핵	Core of Rusrat
ITEM_20150317_002210	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Rusrats.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 러스라트에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Rusrat.
ITEM_20150317_002211	Mauros Core	마우로스의 핵	Core of Mauros
ITEM_20150317_002212	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Mauroses.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 마우로스에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Mauros.
ITEM_20150317_002213	Wax	밀납	Wax
ITEM_20150317_002214	Although this can be found from many monsters, it's most easily obtainable from a Tree Ambulo.	여러 곳에서 획득이 가능하지만 트리암불로에게서 쉽게 획득할 수 있습니다.	Meskipun kamu bisa menemukannya dari berbagai monster, kamu bisa dengan mudah mendapatkannya dari Triambulo.
ITEM_20150317_002215	Stumpy Tree Leaf	몽당 나무 잎	Short Tree Leaf
ITEM_20150317_002216	A rather stiff leaf. {nl}Obtained from Stumpy Trees.	다소 빳빳한 느낌의 잎입니다. 몽당 나무에게서 획득합니다.	Daun yang kaku. Didapat dari Short Tree.
ITEM_20150317_002217	Long-Branched Tree Crystal	긴팔 나무의 결정	Long-Branched Tree Crystal 
ITEM_20150317_002218	This crystal formation found inside the plant comes from the solidification of its sap. {nl}Obtained from Long-Branched Trees.	식물의 채내에서 수액이 굳으며 생성된 결정입니다. 긴팔 나무에게서 획득합니다.	Pola kristal dapat terlihat dari endapan getah tanaman. Didapat dari Long Arm Tree.
ITEM_20150317_002219	Infro Birk Shell	인프로버크의 껍질	Infroburk Shell
ITEM_20150317_002220	A shellpiece that can withstand heavy impact despite its thin appearance. {nl}Obtained from Infro Birks.	얇은 두께지만 강한 충격도 견뎌낼 수 있습니다. 인프로버크에게서 획득합니다.	Walaupun merupakan cangkang yang tipis, tetapi dapat bertahan dari serangan kuat. Bisa didapat dari Infroburk.
ITEM_20150317_002221	Zolem Core	졸렘의 핵	Core of Zolem
ITEM_20150317_002222	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Zolems.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 졸렘에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Zolem.
ITEM_20150317_002223	Gravegolem Core	묘지 골렘의 핵	Core of Cemetery Golem
ITEM_20150317_002224	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Gravegolems.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 묘지 골렘에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Cemetery Golem.
ITEM_20150317_002225	Hallowventer Spirit Matter	할로우벤터의 사념체	Innocent Evil of Hallowventer
ITEM_20150317_002226	A physical manifestation of a strong spirit. You might become possessed if you handle it without a safety device. {nl}Obtained from Hallowventers.	영혼의 강한 사념이 물질화된 형태입니다. 안전장치 없이 손을 댈 경우 사념에 사로잡힐 수도 있습니다. 할로우벤터에게서 획득합니다.	Wujud fisik dari jiwa yang kuat. Kamu dapat dirasuki bila tidak menggunakan alat yang aman. Didapat dari Hallowventer.
ITEM_20150317_002227	Big Cockatrice Heart	빅 코카트리스의 심장	Heart of Big Cockatrice 
ITEM_20150317_002228	The heart of a beast. Similar physiological layout to the human heart. {nl}Obtained from Big Cockatrices.	짐승의 심장입니다. 사람의 심장과 비슷한 구조입니다. 빅 코카트리스에게서 획득합니다.	Jantung dari makhluk buas. Tampilannya mirip dengan jantung manusia. Didapat dari Big Cockatrice.
ITEM_20150317_002229	Drake Meat	드레이크 고기	Drake Meat
ITEM_20150317_002230	Must be cooked for a very long time due to its resistance to fire. Because of this slow cooking, however, it is extremely delicious. {nl}Obtained from Drakes.	불에 강한 내성을 가지고있어서 매우 오랜시간동안 조리해야합니다. 그만큼 맛은 일품이라 인기가 좋습니다. 드레이크에게서 획득합니다.	Harus dimasak dengan waktu yang lama karena ketahanannya terhadap api. Walau bagaimanapun, daging ini sangat enak. Didapat dari Drake.
ITEM_20150317_002231	Phyracon Leaf	피라콘 잎	Phyracon Leaf
ITEM_20150317_002232	Red colored leaf. {nl}Obtained from Phyracons.	붉은 색의 잎입니다. 피라콘에게서 획득합니다.	Daun berwarna merah. Didapat dari Phyracon.
ITEM_20150317_002233	Shaman Doll Core	주술 인형의 핵	Core of Shaman Doll
ITEM_20150317_002234	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Shaman Dolls.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 주술 인형에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Shaman Doll.
ITEM_20150317_002235	Slime Piece	슬라임 조각	Slime Piece
ITEM_20150317_002236	Due to its soft, spongy texture, it has no use except for magical research. {nl}Obtained from Slimes.	물컹물컹한 성질때문에 마법연구외에는 쓰이지 않습니다. 슬라임에게서 획득합니다.	Karena teksturnya halus dan kenyal, benda ini sering berguna untuk penelitian Magic. Didapat dari Slime.
ITEM_20150317_002237	Arma Thorn	아르마의 뿔	Thorn of Arma
ITEM_20150317_002238	It is very thick and strong. {nl}Obtained from Armas.	매우 굵고 단단합니다. 아르마에게서 획득합니다.	Sangat tebal dan kuat. Didapat dari Arma.
ITEM_20150317_002239	Green Drake Tooth	초록 드레이크 이빨	Green Drake Tooth
ITEM_20150317_002240	Handle it with care, as it can drip an acid from the tip. {nl}Obtained from Green Drakes.	이빨 끝에서 산성액이 나올 수도 있으니 조심해야합니다. 초록 드레이크에게서 획득합니다.	Hati-hati, karena asam dapat keluar dari ujungnya. Didapatkan dari Green Drake. 
ITEM_20150317_002241	Flask Piece	플라스크 조각	Flask Piece
ITEM_20150317_002242	Always be careful of broken glass shards. {nl}Obtained from Flasks.	언제나 깨진 유리는 조심해야합니다. 플라스크에게서 획득합니다.	Berhati - hatilah dengan pecahan kaca. Didapat dari Flask.
ITEM_20150317_002243	Red Hook	붉은 갈고리	Red Hook
ITEM_20150317_002244	If you don't need a hook, you can melt this to make something else. {nl}Obtained from Red Nudock Hooks.	갈고리가 필요하지 않다면 녹여서 다른 것을 만드는 것이 좋습니다. 붉은 누덕 갈고리에게서 획득합니다.	Jika kamu tidak membutuhkan sebuah hook, kamu dapat meleburkannya menjadi sesuatu yang lain. Didapatkan dari Red Nudock Hook.
ITEM_20150317_002245	Black Shaman Doll Core	검은 주술인형의 핵	Core of Black Shaman Doll
ITEM_20150317_002246	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelesly. {nl}Obtained from Tama.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 검은 주술 인형에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Black Shaman Doll.
ITEM_20150317_002247	Dimmer Marble	디머의 구슬	Marble of Dimmer
ITEM_20150317_002248	The fiery color makes this very popular as a decoration. {nl}Obtained from Dimmers.	불타오르는듯한 색 때문에 장식품으로 종종 사용됩니다. 디머에게서 획득합니다.	Warnanya yang merah menyala membuatnya dikenal sebagai hiasan. Didapat dari Dimmer.
ITEM_20150317_002249	Black Drake Heart	검은 드레이크의 심장	Heart of Black Drake
ITEM_20150317_002250	Still beating, as if trying to prove its resilience. {nl}Obtained from Black Drakes.	강인한 생명력을 자랑하듯 계속해서 뛰고있습니다. 검은 드레이크에게서 획득합니다.	Masih berdetak, seperti mencoba membuktikan ketahanannya. Didapat dari Black Drake.
ITEM_20150317_002251	Rocktor Skin	락터의 껍질	Skin of Rocktor
ITEM_20150317_002252	Usually used as a material for armor. {nl}Obtained from Rocktors.	주로 갑옷의 재료로 사용됩니다. 락터에게서 획득합니다.	Biasa digunakan sebagai bahan membuat Armor. Didapat dari Rocktor.
ITEM_20150317_002253	Venucelos Core	베누켈로스의 핵	Core of Venucelos
ITEM_20150317_002254	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Venuceloses.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 베누켈로스에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Venucelos.
ITEM_20150317_002255	Echad Core	에하드의 핵	Core of Echad
ITEM_20150317_002256	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Echads.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 에하드에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Echad.
ITEM_20150317_002257	Tama Core	타마의 핵	Core of Tama
ITEM_20150317_002258	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Tamas.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 타마에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Tama.
ITEM_20150317_002259	Lizardman Tooth	리자드맨 이빨	Lizardman Tooth
ITEM_20150317_002260	If you can handle the savage Lizardmen, this tooth can be a worthy trophy. {nl}Obtained from Lizardmen.	사나운 리자드맨을 상대할 수 있다면 이것은 충분한 보상이 될 수 있을 것입니다. 리자드맨에게서 획득합니다.	Bila kamu bisa menghadapi Savage Lizardmen, benda ini sangat berharga. Didapat dari Lizardman.
ITEM_20150317_002261	Hook	갈고리	Hook
ITEM_20150317_002262	If you don't need a hook, you can melt this to make something else. {nl}Obtained from Rusty Old Hooks.	갈고리가 필요하지 않다면 녹여서 다른 것을 만드는 것이 좋습니다. 누덕 갈고리에게서 획득합니다.	Bila tidak membutuhkan sebuah kait, kamu bisa meleburnya untuk membuat benda lain. Didapat dari Hook.
ITEM_20150317_002263	Winged Frog Core	날개 개구리의 핵	Core of Winged Frog
ITEM_20150317_002264	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Winged Frogs.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 날개 개구리에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Winged Frog.
ITEM_20150317_002265	Cockatrice Bones	코카트리스의 뼈	Bone of Cockatrice 
ITEM_20150317_002266	This is not a leftover chicken bone. {nl}Obtained from Cockatrices.	살코기만 먹고 버리던 닭뼈가 아닙니다. 코카트리스에게서 획득합니다.	Ini bukan sisa tulang ayam. Didapat dari Cockatrice.
ITEM_20150317_002267	Drake Horn	드레이크의 뿔	Drake Horn 
ITEM_20150317_002268	The hardness of this horn makes it suitable to be used as a weapon. {nl}Obtained from Drakes.	단단함은 무구로 사용해도 손색이 없을 정도입니다. 드레이크에게서 획득합니다.	Kerasnya tanduk ini cocok digunakan sebagai senjata. Didapat dari Drake.
ITEM_20150317_002269	Groll Horn	그롤의 뿔	Groll Horn 
ITEM_20150317_002270	This is the main reason people hunt Grolls. {nl}Obtained from Grolls.	이것이 그롤을 사냥하는 주된 이유입니다. 그롤에게서 획득합니다.	Ini adalah alasan utama kenapa kita memburu Groll. Didapat dari Groll.
ITEM_20150317_002271	Blue Fragaras Stem	푸른 프라가라스의 줄기	Blue Fragaras Stem 
ITEM_20150317_002272	It is closer to a tendon than a stem. {nl}Obtained from Blue Fragarases.	줄기라기보다는 힘줄에 가깝습니다. 푸른 프라가라스에게서 획득합니다.	Lebih tepat disebut sebagai tendon daripada sebuah batang. Didapat dari Blue Fragaras.
ITEM_20150317_002273	Vekarabe Shell	베카라베의 껍질	Vekarabe Shell
ITEM_20150317_002274	Feels as if it is made of rock. {nl}Obtained from Vekarabes.	이건 마치 돌로 만들져 있는 것 같습니다. 베카라베에게서 획득합니다.	Serasa seperti terbuat dari batu. Didapat dari Vekarabe.
ITEM_20150317_002275	Boowook Core	부우크의 핵	Boowook Core 
ITEM_20150317_002276	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Boowooks.	변이형 몬스터의 동력원인 뉴클의 변형핵입니다. 잘못 조작하면 응집된 마력이 폭발할 수도 있습니다. 부우크에게서 획득합니다.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Boowook.
ITEM_20150317_002277	Vubbe Bow	부베 활대	Vubbe Cross Stick
ITEM_20150317_002278	Very crudely made bow. {nl}Obtained from Vubbe Archers.	조악한 솜씨로 만들어진 활대입니다. 부베 궁수에게서 획득합니다.	Sebuah busur yang dibuat asal - asalan. Didapat dari Vubbe Archer.
ITEM_20150317_002279	Vubbe Pickaxe	부베 곡괭이	Vubbe Pickaxe 
ITEM_20150317_002280	A pickaxe used in mines. Can be used as a weapon when needed. {nl}Obtained from Vubbe Miners.	광산에서 사용되는 곡괭이입니다. 비상시에는 무기로도 이용됩니다. 부베 광부에게서 획득합니다.	Sebuah Pickaxe yang digunakan dalam tambang. Dapat digunakan sebagai senjata. Didapat dari Vubbe Miner.
ITEM_20150317_002281	Vubbe Hood	부베 두건	Vubbe Hood 
ITEM_20150317_002282	According to a theory, Vubbes wear these to look fancy. {nl}Obtained from Vubbe Mages and Vubbe Shamans.	일설에 따르면 부베들이 멋을 내기위해 쓴다고 합니다. 부베 마법사와 주술사에게 획득합니다.	Teori mengatakan, Vubbes menggunakan benda ini agar terlihat mewah. Didapat dari Vubbe Mage and Shaman.
ITEM_20150317_002283	Dandel Wing	단델의 날개	Dandel Wing 
ITEM_20150317_002284	Looks similar to a bat wing, but is actually a plant stem. {nl}Obtained from Dandels.	박쥐 날개와 매우 유사하지만 식물의 줄기라는 점이 다릅니다. 단델에게서 획득합니다.	Sangat mirip dengan Bat Wing tapi bedanya ini adalah batang tanaman. Didapat dari Dandel.
ITEM_20150317_002285	Panto Eyebrow	판토 눈썹	Panto Eyebrow
ITEM_20150317_002286	Panto Spear Shaft	판토 창대	Panto Spear Shaft
ITEM_20150317_002287	Spear used by the Panto. {nl}Obtained from Panto Spearmen.	판토들이 사용하는 창대입니다. 판토 창병에게서 획득합니다.	Tombak yang digunakan oleh Panto. Didapat dari Panto Spearman.
ITEM_20150317_002288	Tipio Stamen	티피오의 꽃술	Tipio Stamen
ITEM_20150317_002289	You will sneeze if you breathe in the pollen from this. {nl}Obtained from Tipios.	꽃가루를 들이마시면 재채기가 나올 수 있습니다. 티피오에게서 획득합니다.	Bila kamu terpapar olehnya, kamu akan bersin - bersin. Didapat dari Tipio.
ITEM_20150317_002290	Doyor Leaf Bunch	도요르 잎다발	Doyor Leaf Bunch
ITEM_20150317_002291	Perfect alternative to an umbrella. {nl}Obtained from Doyors.	우산 대용으로도 훌륭합니다. 도요르에게서 획득합니다.	Ini bagus digunakan sebagai payung. Didapat dari Doyor.
ITEM_20150317_002292	Hogma Archer Belt	호그마 궁수 허리띠	Hogma Archer Belt
ITEM_20150317_002293	Very strong, but crude, belt. {nl}Obtained from Hogma Archers.	투박하고 튼튼한 허리띠입니다. 호그마 궁수에게서 획득합니다.	Sangat kuat dan kasar. Didapat dari Hogma Archer.
ITEM_20150317_002294	Panto Spearhead	판토 창날	Panto Spear Point
ITEM_20150317_002295	A Panto insignia is engraved onto the spear blade. {nl}Obtained from Panto Spearthrowers.	창날 위에 판토 문양이 그려져 있습니다. 판토 투창병에게서 획득합니다.	Lambang Panto terpahat di ujung tombaknya. Didapat dari Panto Spearthrowers.
ITEM_20150317_002296	Phylogistone	플로기스톤	Phylogistone
ITEM_20150317_002297	A mysterious stone infused with the power of fire. {nl}Obtained from Drakes.	불의 힘이 담긴 신비한 돌입니다. 드레이크에게서 획득합니다.	Sebuah batu misterius yang berisi kekuatan api. Didapatkan dari Drake.
ITEM_20150317_002298	Sulfur	유황	Sulfur
ITEM_20150317_002299	A mineral that burns blue.	푸른 불꽃을 내며 타는 광석입니다.	Mineral yang berubah warna menjadi biru.
ITEM_20150317_002300	Cinnabar	신나바르	Cinnabar
ITEM_20150317_002301	A red ore, the principal ingredient of Mercury.	수은의 주재료가 되는 붉은 광석입니다.	Batu berwarna merah yang digunakan sebagai bahan utama dari Mercury.
ITEM_20150317_002302	Bat Wing	박쥐의 날개	Wing of Bat
ITEM_20150317_002303	A very frequently used ingredient for alchemy.	연금술에 많이 이용되는 재료중 하나입니다.	Salah satu bahan dari Alchemy.
ITEM_20150317_002304	Glass Fragment	유리조각	Glass Fragment
ITEM_20150317_002305	A broken glass fragment of no use. {nl}Obtained from Flasks.	쓸모없는 깨진 유리 조각입니다. 플라스크에게서 획득합니다.	Pecahan kaca yang tidak berguna. Didapat dari Flask.
ITEM_20150317_002306	Oak Wood	떡갈나무	Oak wood
ITEM_20150317_002307	An unprocessed log of wood.	가공되지 않은 통나무입니다.	Kayu yang belum diolah.
ITEM_20150317_002308	Ash Wood	물푸레나무	Ash Wood
ITEM_20150317_002309	Pine Wood	소나무	Pine Wood
ITEM_20150317_002310	Cedar Wood	삼나무	Cedar Wood
ITEM_20150317_002311	Oak Lumber	떡갈나무 목재	Oak Lumber
ITEM_20150317_002312	Processed lumber used as a material for crafting.	가공된 목재입니다. 아이템을 만드는 재료로 사용됩니다.	Kayu yang telah diolah untuk bahan crafting.
ITEM_20150317_002313	Ash Lumber	물푸레나무 목재	Ash Lumber
ITEM_20150317_002314	Pine Lumber	소나무 목재	Pine Lumber
ITEM_20150317_002315	Cedar Lumber	삼나무 목재	Cedar Lumber
ITEM_20150317_002316	Coliflower Stem	콜리플라워의 줄기	Cauliflower Stem
ITEM_20150317_002317	Very difficult to process due to abundance of thorns on the stem. {nl}Obtained from Coliflowers.	가시가 촘촘히 박혀있어 가공하기 까다로운 재료입니다. 콜리플라워에게서 획득합니다.	Bahan ini sulit diproses karena banyaknya duri. Didapat dari Cauliflower.
ITEM_20150317_002318	Altered Sauga Core	사우가의 개조된 핵	Altered Sauga Core
ITEM_20150317_002319	Core that has been modified for greater output. {nl}Obtained from Saugas.	더 높은 출력을 내기위해 개조된 핵입니다. 사우가에게서 획득합니다.	Core yang dimodifikasi untuk hasil yang lebih baik. Didapat dari Saugar.
