QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.	아하, 파드너 마스터에게로 가는 길이로군. 무운을 빕지요.	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20151015_000727	Search the book of Pardoner Master	파드너 마스터의 장부 수색	Mencari Pardoner Master's Ledger
QUEST_UNUSED_20151015_000728	Pardoner Master told you that his book is ripped off so it can't be used. Go find the premiminary book which Pardoner Master has hidden at 35_3 of the monastery.	파드너 마스터는 자신이 가진 장부가 찢어져서 쓸 수 없게 되었다고 합니다. 수도원 35_3에 파드너 마스터가 숨겨둔 예비장부를 찾아와 주세요.	Pardoner Master berkata Ledger yang dimiliki dirinya telah tersobek sehingga tidak dapat dipakai. Cobalah carikan Spare Ledger yang disembunyikan Pardoner Master di Monastery 35_3.
QUEST_UNUSED_20151015_000729	You've found the book of Pardoner Master. Go back to Pardoner Master.	파드너 마스터의 장부를 찾았습니다. 파드너 마스터에게 돌아가세요.	Telah menemukan Ledger Pardoner master. Kembalilah pada Pardoner Master.
QUEST_UNUSED_20151015_000730	Collect the samples of Plant-type monsters	식문 몬스터의 샘플 수집	Mengumpulkan sample monster tipe Plant
QUEST_UNUSED_20151015_000731	Druid Master is researching on the over grown plants after Medzio Diena. To help him the research, defeat Plant-type monsters and collect the samples. You can get more samples as the monsters become stronger.	드루이드 마스터는 신수의 날 이후 과성장한 식물들에 대해 조사하고 있다고 합니다. 연구를 돕기 위해 식물형 몬스터를 처치하고 샘플을 모아오세요. 강한 몬스터일수록 더 많은 샘플을 얻을 수 있습니다.	Druid Master berkata sedang menyelidiki tentang tanaman yang bertumbuh pesat setelah hari Medzio Diena. Untuk membantu penelitian, bunuhlah monster tipe Plant dan kumpulkanlah Samplenya. Semakin kuat monster maka bisa mendapatkan sample lebih banyak.
QUEST_UNUSED_20151015_000732	Hand them over to Druid Master	드루이드 마스터에게 전달	Menyampaikan kepada Druid Master
QUEST_UNUSED_20151015_000733	You've collected enough Plant-type monsters' samples. Go back to Druid Master.	식물형 몬스터의 샘플을 충분히 모았습니다. 드루이드 마스터에게 돌아가세요.	Telah cukup mengumpulkan sample dari monster tipe Plant. Kembalilah pada Druid Master.
QUEST_UNUSED_20151015_000734	Set Romuva of Purification at 36_1 of Canyon Region	협곡지대 36_1에 정화의 로무바 설치	Memasang Romuva Purification pada Canyon Area 36_1
QUEST_UNUSED_20151015_000735	Oracle Master told you that the demonic energy is becoming stronger lately so his abilities are being disturbed. Set Romuva of Purification on 36_1 of Canyon Region where the demonic energy is strong so there's lots of distubances.	오라클 마스터는 최근 마기가 강해져서 자신의 능력이 방해받고 있다고 합니다. 특히 마기가 강해 방해가 심한 협곡지대 36_1에 가서 정화의 로무바를 설치하세요.	Oracle Master berkata bahwa kekuatannya belakangan ini tertanggu karena kekuatan Demon Energy. Terutama pada Canyon area 36_1 kekuatan Demon Energy sungguh luar biasa, maka pergilah dan pasang Romuva Purication.
QUEST_UNUSED_20151015_000736	Report to Oracle Master	오라클 마스터에게 보고	Melapor kepada Oracle Master
QUEST_UNUSED_20151015_000737	You've set up all Romuvas of Purification. Return to the Oracle Master.	정화의 로무바를 모두 설치했습니다. 오라클 마스터에게 돌아가세요.	Telah memasang seluruh Romuva Purification. Kembalilah pada Oracle Master.
QUEST_UNUSED_20151015_000738	Open the treasure chest	보물상자 열어 보기	Mencoba membuka Treasure Box
QUEST_UNUSED_20151015_000739	Defeat the monsters by avoiding the Petrifying Frost	석화서리를 피해 몬스터 처치	Kalahkan Monster dengan menghindari Petrification Frost.
QUEST_UNUSED_20151015_000740	As you opened the box, faint Petrifying Frost came out and the monsters around are rushing in! Avoid the Petrifying Frost and defeat all monsters.	상자를 열자 미약한 석화서리가 나오면서 주변의 몬스터까지 달려 듭니다! 석화서리를 피해서 몬스터를 모두 처치하세요.	Setelah membuka Box, muncullah Petrification Frost dan monster di sekitar datang mengepung! Bunuhlah semua monster setelah menghindari Petrification Frost.
QUEST_UNUSED_20151015_000741	Look at the pillar	기둥 살펴 보기	Memeriksa Pillar
QUEST_UNUSED_20151015_000742	As you entered Galeed Plateau, you see a lot of pillars. There is one pillar that looks special, so go take a look at it.	갈르엣 평야에 들어서자마자 보이는 것은 엄청난 수의 기둥입니다. 인상 깊어 보이는 기둥이 있으니 다가가 살펴 보세요.	Setelah memasuki Galeed Plateau terlihat banyak sekali jumlah dari Pillar. Karena terlihat suatu Pillar yang menarik perhatian, coba hampir dan periksalah.
QUEST_UNUSED_20151015_000743	Protect the pillar	기둥 지키기	Menjaga Pillar
QUEST_UNUSED_20151015_000744	The monsters are coming to attack the pillar! Protect it.	몬스터들이 몰려와서 기둥을 공격합니다! 기둥을 지키세요.	Para Monster datang menyergap dan menyerang Pillar! Lindungilah Pillar.
QUEST_UNUSED_20151015_000745	Brush off the powders off from the pillar	기둥에서 가루 털어내기	Menyebarkan Powder pada Pillar
QUEST_UNUSED_20151015_000746	Does this black dust look like food to the monsters? Is that why they came running? Mow that they're gone we should dust off the rest of the pillar.	몬스터들이 몰려 들었던 이유는 이 검은 가루가 먹이처럼 보였기 때문이었을까요? 몬스터들을 모두 물리쳤으니 기둥에 붙어 있던 검은 가루들을 모두 털어내 봅시다.	Alasan para monster datang menyergap apakah karena bubuk hitam ini terlihat seperti makanan? Karena parah monster datang menyerbu, mari sebarkan semua bubuk hitam yang menempel.
QUEST_UNUSED_20151015_000747	It is likely that there are more pillars with someone's records. Look at the pillar. You would be able to read the writings on the pillar even if it's dark if you have the crystals that illuminates a mysterious ray.	누군가의 기록이 담긴 기둥이 더 있을 것 같습니다. 기둥을 살펴 보세요. 기둥의 글귀는 신비한 빛을 내는 결정이 있다면 어두워도 읽을 수 있을 것입니다.	Sepertinya ada pillar yang menyimpan catatan milik seseorang. Cobalah periksa pillar. Tulisan pada Pilar dapat terbaca walau gelap, jika ada Crystal yang memancarkan cahaya misterius.
QUEST_UNUSED_20151015_000748	Collect Monster Oil	몬스터 기름 구하기	Mendapatkan Monster Oil
QUEST_UNUSED_20151015_000749	The crystal emanating the mysterious light requires monster oil to shine. Hunt monsters and collect monster oil.	신비한 빛을 내는 결정 충분한 빛을 내려면 몬스터 기름이 있어야 할 것 같습니다. 몬스터를 사냥하여 몬스터 기름을 모으세요.	Jika ingin Crystal yang mengeluarkan cahaya misterius untuk mengeluarkan cahaya cukup, maka membutuhkan Monster Oil sepertiny. Kumpulkanlah Monster oil dengan menghabisi monster.
QUEST_UNUSED_20151015_000750	Read the writings on the pillar	기둥에 새겨진 글귀 읽기	Membaca tulisan yang terukir pada Pillar
QUEST_UNUSED_20151015_000751	You have obtained the monster oil. Go back to the pillar with the crystal and use its light to see the writings on it.	몬스터 기름을 모두 모았습니다. 기둥으로 가져 가서 신비한 빛을 내는 결정의 빛으로 기둥에 새겨진 글귀를 읽어 봅시다.	Telah mengumpulkan seluruh Monster Oil. Mari coba membaca tulisan yang terukir pada pillar dengan sinar yang dikeluarkan Crystal dengan membawanya ke Pillar.
QUEST_UNUSED_20151015_000752	Defeat monsters to obtain Monster Oil	몬스터를 처치하여 몬스터 기름 획득	Coba dapatkan Monster Oil dengan mengalahkan Monster.
QUEST_UNUSED_20151015_000753	It seems that someone's records are present on other pillars. Look at the pillars.	다른 기둥에 누군가의 기록이 더 있을 것 같습니다. 기둥들을 살펴 보세요.	Sepertinya terdapat catatan lainnya milik seseorang pada Pillar lainnya. Cobalah periksa pillar lainnya.
QUEST_UNUSED_20151015_000754	Speak out the numbers	숫자 말하기	Mengatakan angka
QUEST_UNUSED_20151015_000755	The instructions seem to day that, if you speak out the numbers obtained at the Galeed Plateau, the writings on the pillar will become visible. Stand near the pillar and enter the numbers into the chat window. Obtain hints from colored pillars.	갈르엣 평야의 어딘가에서 얻은 힌트 숫자를 말하면 기둥의 글귀를 읽을 수 있다고 씌여 있는 것 같습니다. 기둥 가까이에서 채팅창에 숫자를 입력하세요. 특정 색상의 기둥에서 힌트를 얻을 수 있습니다.	Jika mengatakan angka hint yang didapat dari suatu tempat di Galeed Plateau, maka dikatakan dapat menggunakan untuk membaca tulisan pada Pillar. Inputlah angka pada Chatting Window di dekat Pillar. Bisa mendapatkan Hint pada Pillar dengan warna khusus.
QUEST_UNUSED_20151015_000756	The writings on the pillar are beginning to appear! Read them!	기둥에 뭔가 새겨져 있는 것이 보이기 시작했습니다! 읽어 보세요!	Mulai terlihat sesuatu yang terukir pada Pillar! Cobalah membacanya!
QUEST_UNUSED_20151015_000757	A pillar has appeared! Go have a look at it.	기둥이 나타난 듯 합니다! 다가가 살펴 보세요.	Sepertinya Pillar telah muncul! Hampiri dan periksalah.
QUEST_UNUSED_20151015_000758	Repair the pillar	기둥 보수 하기	Memperbaiki Pillar
QUEST_UNUSED_20151015_000759	You seem to need shining moss to read the writings on the summoning pillar. Go and gather some. Note that, if you don't come back within 5 minutes, you'll have to wait until it appears again, so hurry.	소환 기둥에 글귀를 읽으려면 빛나는 이끼가 필요할 것 같습니다. 주변에서 구해 보세요. 단, 5분 안에 돌아오지 않으면 기둥은 다음번 나타날 때 까지 기다려야 하니 서두르세요.	Jika ingin membaca tulisan pada Summon Pilar, maka memerlukan Moss yang mengeluarkan cahaya. Cobalah dapatkan dari sekitar. Tetapi, jika tidak kembali dalam 5 menit, maka harus menunggu hingga pillar muncul di lain waktu, bergegaslah.
QUEST_UNUSED_20151015_000760	Read the writings on the pillar	기둥의 글귀 읽기	Membaca tulisan pada Pillar
QUEST_UNUSED_20151015_000761	You should be able to read the pillar now. Go near it and have a look.	이제 기둥의 글귀를 읽을 수 있을 것 같습니다. 기둥으로 가서 읽어 보세요.	Sekarang sepertinya dapat membaca tulisan pada Pillar. Cobalah membaca dengan pergi pada Pillar.
QUEST_UNUSED_20151015_000762	It seems that there is another record on the other pillar which continues from this story. Look at the pillar closely.	다른 기둥에는 이 이야기에 이어지는 다른 기록이 또 있을 것 같습니다. 기둥을 살펴 보세요.	Pada Pillar lainnya, sepertinya terdapat catatan lainnya yang berhubungan dengan cerita ini. Cobalah periksa pilar lainnya.
QUEST_UNUSED_20151015_000763	Obtain Sticky Liquid	점성 있는 액체 구해 오기	Mendapatkan Cairan yang lengket
QUEST_UNUSED_20151015_000764	The pillar collapsed without even being touched.{nl}Collect some viscous liquid from monsters to repair the pillar.	건드리지도 않았는데 기둥이 무너져 버렸습니다. 기둥을 수리해야 할 것 같으니, 주변에 매우 흔한 몬스터의 점성 있는 액체를 구해 옵시다.	Pillar roboh walaupun tidak disentuh. Sepertinya harus memperbaiki Pillar, maka pergilah mencari cairan yang lengket dari Monster biasa.
QUEST_UNUSED_20151015_000765	Repair the pillar	기둥 수리하기	Memperbaiki Pillar
QUEST_UNUSED_20151015_000766	You have collected the sticky liquid. Go back and repair the pillar.	점성 있는 액체를 모두 모았습니다. 이제 돌아가서 기둥을 수리해 보세요.	Telah mengumpulkan Cairan yang lengket. Sekarang cobalah kembali dan perbaiki Pillar.
QUEST_UNUSED_20151015_000767	Obtain %s from monsters	몬스터로부터 %s 구해오기	Mendapatkan %s dari Monster
QUEST_UNUSED_20151015_000768	Obtain the sticky liquid	점성있는 액체 구하기	Mencari Viscous Fluid
QUEST_UNUSED_20151015_000769	The rest of the story seems to be written on the pillar. Go there and take a close look at it.	나머지 이야기가 저 기둥에 씌여 있을 것 같습니다. 다가가 살펴 보세요.	Cerita yang tersisa, sepertinya tertulis pada Pillar itu. Coba hampiri dan periksalah.
QUEST_UNUSED_20151015_000770	Put the pieces into the pillars	기둥에 조각들 끼워 넣기	Menyelipkan potongan-potongan pada Pillar
QUEST_UNUSED_20151015_000771	It seems that the pieces would fit well. Try putting them in. But, if you give up on a quest, the piece will disappear. When you go to the pillars when the pieces disappear, you will be able to obtain the pieces.	가지고 있던 문양 조각을 끼워 넣으면 딱 맞을 것 같습니다. 조각을 끼워 넣어 보세요. 단, 퀘스트를 포기하면 문양 조각이 사라집니다. 문양 조각이 사라졌을 때에는 다시 기둥들로 가면 문양 조각을 얻을 수 있습니다.	Jika menyelipkan potongan pola yang dimiliki, sepertinya akan cocok. Cobalah selipkan potongan itu. Tetapi, Jika menyerah pada Quest, maka potongan pola akan hilang. Ketika potongan pola telah menghilang, maka bisa mendapatkan potongan pola kembali dengan pergi kembali ke pillar-pillar tersebut.
QUEST_UNUSED_20151015_000772	It seems that the pieces would fit well. Try putting them in.	가지고 있던 문양 조각을 끼워 넣으면 딱 맞을 것 같습니다. 조각을 끼워 넣어 보세요.	Jika menyelipkan potongan pola yang dimiliki, sepertinya akan cocok. Cobalah selipkan potongan itu. Tetapi, Jika menyerah pada Quest, maka potongan pola akan hilang. Ketika potongan pola telah menghilang, maka bisa mendapatkan potongan pola kembali dengan
QUEST_UNUSED_20151015_000773	Talk to Yureta	유라테와 대화	Bicara dengan Yureta
QUEST_UNUSED_20151015_000774	Continue the talk with Jurate about the sacred object.	유라테와 성물에 대한 대화를 계속 해 보세요.	Cobalah melanjutkan bicara mengenai Relic dengan Yureta
QUEST_UNUSED_20151015_000775	Excavate the sacred object	성물 발굴해 오기	Lakukanlah Penggalian Relic
QUEST_UNUSED_20151015_000776	Excavate the sacred object secretly by going to the place where you found with the detector stick.	탐색봉으로 찾아 낸 곳으로 가서 조심스럽게 성물을 발굴해 보세요.	Pergilah ke tempat yang ditemukan menggunakan Exploration Stick, lalu lakukan penggalian Relic dengan hati-hati.
QUEST_UNUSED_20151015_000777	Report to Jurate	유라테에게 보고	Melapor pada Yureta
QUEST_UNUSED_20151015_000778	It seems that you've found a sacred object. Take it to Jurate.	성물을 찾은 것 같습니다. 유라테에게 가져다 주세요.	Sepertinya telah menemukan Relic. Bawakanlah kepada Yureta.
QUEST_UNUSED_20151015_000779	Wilhelmina Carriot is looking at what you have closely. Talk with Wilhelmina Carriot.	빌헬미나 캐리어트가 당신이 가지고 있는 것을 뚫어지게 쳐다보고 있습니다. 빌헬미나 캐리어트와 대화해 보세요.	Wilhelmina Carriot sedang menatap tembus pada sesuatu yang ada bawa. Cobalah bicara dengan Wilhelmina Carriot.
QUEST_UNUSED_20151015_000780	Obtain Ruklys' Army Seals and Parchments	루클리스의 부대 인장과 양피지 문서 수집	Mengumpulkan Ruklys Troops' Seal dan Document Parchement
QUEST_UNUSED_20151015_000781	Wilhelmina Carriot wants more documents. Obtain some things that can be used as information from the Fortress of the Land.	빌헬미나 캐리어트는 좀 더 많은 자료들을 원하고 있습니다. 대지의 요새에서 정보가 될 만한 것들을 구하세요.	Wilhelmina Carriot menginginkan sedikit lebih banyak material lagi. Dapatkanlah informasi yang berguna dari Earth Castile.
QUEST_UNUSED_20151015_000782	Hand them over to Wilhelmina Carriot	빌헬미나 캐리어트에게 전달	Menyampaikan kepada Wilhelmina Carriot
QUEST_UNUSED_20151015_000783	Wilhelmina Carriot will be satisfied with this. Hand them over to Wilhelmina Carriot.	이 정도면 빌헬미나 캐리어트가 만족할 것 같습니다. 빌헬미나 캐리어트에게 전해주세요.	Jika segini banyak maka Wilhelmina Carriot akan merasa puas. Sampaikanlah kepada Wilhelmina Carriot.
QUEST_UNUSED_20151015_000784	The books from the Ruklys Era are scattered around. Look for the books that are readable.	루클리스 시대에 남겨진 책들이 흩어져 있습니다. 읽을 수 있을 만한 책을 찾아보세요.	Berteberan buku-buku yang tersisa pada era Ruklys. Cobalah cari buku yang layak untuk dibaca.
QUEST_UNUSED_20151015_000785	If you bring these books to Wilhelmina Carriot, you would be able to receive some rewars.	이 책들을 빌헬미나 캐리어트에게 전해 주면 보상을 받을 수 있을 것 같습니다.	Sepertinya bisa mendapatkan Reward jika menyampaikan buku-buku ini kepada Wilhelmina Carriot.
QUEST_UNUSED_20151015_000786	Talk with the Ruklys Army Soldier's Spirit	루클리스 부대 병사 영혼과 대화	Bicara dengan Ruklys Troops Soldier's Spirit
QUEST_UNUSED_20151015_000787	You can see the Ruklys Army Soldier's Spirit that can't go back beside the goddess. Talk to him.	여신의 품으로 돌아가지 못하고 떠도는 루클리스 부대 병사 영혼이 보입니다. 그와 대화하세요	Terlihat Ruklys Troops Soldier's Spirit yang bergentayangan dan tidak dapat kembali ke pelukan Goddess. Bicaralah dengannya
QUEST_UNUSED_20151015_000788	Pass the retreat order to the spirits by blowing the horn	나팔을 불어 영혼들에게 퇴각 명령 알리기	Memberitahukan perintah mundur kepada para Spirit dengan meniupkan Napal
QUEST_UNUSED_20151015_000789	It seems that he regrets that he couldn't blow the horn to order for retreat. Blow the horn and let other spirits know about the spirit.	루클리스 부대 병사의 영혼은 퇴각을 알리지 못한 게 한이 되는 것 같습니다. 나팔을 불어 루클리스 부대 병사 영혼들에게 퇴각 명령 알리세요.	Sepertinya Ruklys Troops Soldier's Spirit gugur karena tidak diberitahukan untuk mundur. Bunyikanlah Napal untuk memberitahukan perintah mundur kepada para Ruklys Troops Soldier's Spirit.
QUEST_UNUSED_20151015_000790	You blew the horn and sent out the retreat order. Tell the Ruklys Army Soldier's Spirit about it.	나팔을 불어 퇴각 명령을 알렸스빈다. 루클리스 부대 병사 영혼에게 이 사실을 알리세요.	Telah memberitahukan perintah mundur dengan membunyikan Napal. Beritahukanlah kebenaran ini kepada Ruklys Troops Soldier's Spirit.
QUEST_UNUSED_20151015_000791	Talk with Settler Browein	이주민 보웨인과 대화	Bicara dengan Immigrant Bowein
QUEST_UNUSED_20151015_000792	Talk with Settler Browein at Lemprasa Pond	렘파라사 연못의 이주민 보웨인과 대화하세요	Bicaralah dengan Immigrant Bowein di Lemprasa Pond
QUEST_UNUSED_20151015_000793	Talk with Settler Brophen	이주민 브로펜과 대화	Bicara dengan Immigrant Brophen
QUEST_UNUSED_20151015_000794	Talk with Settler Brophen	이주민 브로펜과 대화하세요	Bicaralah dengan Immigrant Brophen
QUEST_UNUSED_20151015_000795	Use a Status Point	스탯포인트 사용	Menggunakan Statpoint
QUEST_UNUSED_20151015_000796	Press the F1 key to use a Status Point	F1키를 누른 후 스탯포인트를 사용해 보세요	Cobalah menggunakan Statpoint setelah menekan F1 key
QUEST_UNUSED_20151015_000797	Hand over Grass Leaf Ointment	풀 잎 연고 전달	Memberikan Grass Leaf Cream
QUEST_UNUSED_20151015_000798	Settler Brophen asked you to hand over Grass Leaf Ointment to Settler Layla	이주민 브로펜은 이주민 레일라에게 풀 잎 연고를 전해달라고 부탁했습니다	Immigrant Brophen meminta tolong untuk menyampaikan Grass Leaf Cream kepada Immigrant Layla
QUEST_UNUSED_20151015_000799	Talk with Mayor Romanas	촌장 로마나스와 대화	Bicara dengan Mayor Romanas
QUEST_UNUSED_20151015_000800	Mayor Romanas is waiting for you	촌장 로마나스가 당신을 기다리고 있습니다	Mayor Romanas sedang menunggu kamu.
QUEST_UNUSED_20151015_000801	Talk with Officer Lutas	관리관 류타스와 대화	Talk with Officer Lutas
QUEST_UNUSED_20151015_000802	Talk with Officer Lutas at the entrance of Lemprasa Pond	렘파라사 연못의 오르샤 입구에서 관리관 류타스와 대화하세요	Bicara dengan Officer Lutas di Orsha Entrance pada Lemprasa Pond
QUEST_UNUSED_20151015_000803	Talk with Officer Lutas	관리관 류타스와 대화하세요	Bicaralah dengan Officer Lutas
QUEST_UNUSED_20151015_000804	Defeat the attacking boss monster	급습한 보스몬스터 처치	Bunuh Boss Monster yang menyerang dadakan
QUEST_UNUSED_20151015_000805	Defeat the attacking boss monster	급습한 보스몬스터를 처치하세요	Bunuhlah Boss Monster yang menyerang dadakan
QUEST_UNUSED_20151015_000806	Visit Orsha	오르샤 방문	Mengunjungi Orsha
QUEST_UNUSED_20151015_000807	Visit Orsha	도시 오르샤에 방문하세요	Kunjungilah Kota Orsha
QUEST_UNUSED_20151015_000808	Talk with Inesa Hamondale	이네사 해먼데일과 대화	Bicara dengan Inesa Hamondale
QUEST_UNUSED_20151015_000809	Talk with Orsha's lord, Inesa Hamondale	오르샤 영주 이네사 해먼데일과 대화하세요	Bicaralah dengan Inesa Hamondale bangsawan Orsha
QUEST_UNUSED_20151015_000810	Talk with Settler Izna	이주민 이즈나와 대화	Bicara dengan Immigrant Izna
QUEST_UNUSED_20151015_000811	Talk with Settler Izna	이주민 이즈나와 대화하세요	Bicaralah dengan Immigrant Izna
QUEST_UNUSED_20151015_000812	Collect light red leaves	연붉은 잎사귀 수집	Mengumpulkan Soft Red Leaf
QUEST_UNUSED_20151015_000813	Settler Izna has asked you to defeat nearby monsters and collect red leaves.	이주민 이즈나는 주변 몬스터를 처치하여 연붉은 잎사귀를 수집해달라고 부탁했습니다	Immigrant Izna meminta tolong untuk mengumpulkan Soft Red Leaf dengan mengalahkan monster disekitar.
QUEST_UNUSED_20151015_000814	Obtain light red leaves	연붉은 잎사귀 획득	Mendapatkan Soft Red Leaf
QUEST_UNUSED_20151015_000815	Collect Rampar Mucus	렘파르 점액 수집	Mengumpulkan Rampar Mucus
QUEST_UNUSED_20151015_000816	Settler Izna has asked you to collect Rampas Mucus.	이주민 이즈나는 렘파를 점액을 수집해달라고 부탁했습니다	Immigrant Izna meminta tolong untuk mengumpulkan Rampar Mucus
QUEST_UNUSED_20151015_000817	Guide the settler in the forest	숲 속의 이주민 인도	Panduan Immigrant di dalam Hutan
QUEST_UNUSED_20151015_000818	Residents of the northern region have been isolated due to a gigantic monster. Settler Izna has asked you to light up a fire to help them.	이주민 이즈나는 거대한 몬스터 때문에 길을 숲 속에 고립된 북쪽 지역 이주민들을 돕기 위해 모닥불을 켜달라고 했습니다	Immigrant Izna telah meminta untuk menyalakan Bonfire untuk menolong para Immigrant di area utara yang terisolasi di hutan, karena para monster raksasa
QUEST_UNUSED_20151015_000819	Light the Last Fire	마지막 모닥불 켜기	Menyalakan Bonfire terakhir
QUEST_UNUSED_20151015_000820	Settler Izna has asked you to light a big fire so the residents can see it from far away.	이주민 이즈나는 거대한 모닥불을 켜서 먼 곳에 있는 이주민들이 볼 수 있도록 해 달라고 부탁했습니다	Immigrant Izna meminta tolong untuk menyalakan Bonfire yang besar agar para immigrant yang ada di tempat jauh lainnya dapat melihat
QUEST_UNUSED_20151015_000821	Talk with Settler Ivanayus	이주민 이바나유와 대화	Bicara dengan Immigrant Ivanayu
QUEST_UNUSED_20151015_000822	Talk with Settler Ivanayus	이주민 이바나유와 대화하세요	Bicaralah dengan Immigrant Ivanayu
QUEST_UNUSED_20151015_000823	Collect useful objects	쓸만한 물건 수집	Mengumpulkan benda yang layak pakai
QUEST_UNUSED_20151015_000824	Settler Ivanayus wants you to collect useful objects that can be used by settlers that are left by natives.	이주민 이바나유는 원주민들이 두고간 물품을 확인하여 이주민들이 쓸만한 물건을 수집해 달라고 부탁했습니다	Immigrant Ivanayu meminta tolong untuk mengumpulkan benda layak pakai oleh Immigrant dengan memeriksa benda-benda yang ditinggalkan penduduk setempat
QUEST_UNUSED_20151015_000825	Talk with Settler Dallanas	이주민 달라나스와 대화	Bicara dengan Immigrant Dallanas
QUEST_UNUSED_20151015_000826	Talk with Settler Dallanas	이주민 달라나스와 대화하세요	Bicaralah dengan Immigrant Dallanas
QUEST_UNUSED_20151015_000827	Worship the Statue of Goddess Zemyna	제미나 여신상에 경배	Menghormati Zemyna Goddess Statue
QUEST_UNUSED_20151015_000828	Settler Dallanas would like to bless your explorations and as asked you to worship the statue of Goddess Zemyna to receive her grace.	잊두민 달라나스는 모험길을 축복해주며 제미나 여신상에 경배하여 여신의 가호를 받아보라고 조언해주었습니다	Immigrant Dallanas telah memandu untuk coba mendapatkan berkat dari Goddess dengan menghormati Zemyna Goddess Statue supaya perjalanan diberkati
QUEST_UNUSED_20151015_000829	Bring the Settlers	이주민 데려오기	Membawa Immigrant
QUEST_UNUSED_20151015_000830	Settler Dallanas has asked you to bring the settlers that were spreaded across the area.	이주민 달라나스는 주변에 흩어져 있는 이주민들을 데리고 와다라라고 부탁했습니다	Immigrant Dallanas meminta agar membawakan para Immigrant yang tersebar di sekitar
QUEST_UNUSED_20151015_000831	Talk with Priest Irma	사제 이르마와 대화	Bicara dengan Priest Irma
QUEST_UNUSED_20151015_000832	Priest Irma is waiting for help in Ashaq Underground Prison 3F.	아샤크 지하 감옥 3층의 사제 이르마가 누군가의 도움을 기다리고 있습니다	Priest Irma di Ashaq Underground Prison 3F sedang menunggu bantuan dari seseorang
QUEST_UNUSED_20151015_000833	The Demon Lord Marnox attacked when you entered the hideout!	은거지에 들어가자 마군주 마르녹스가 급습했습니다!	Ketika memasuki persembunyian, Demon Lord Marnox melakukan serangan dadakan!
QUEST_UNUSED_20151015_000834	You've defeated the Demon Lord Marnox. Talk with Priest Irma.	마군주 마르녹스를 처치했습니다. 사제 이르마와 대화하세요.	Telah membunuh Demon Lord Marnox. Bicaralah dengan Priest Irma.
QUEST_UNUSED_20151015_000835	Defeat Demon Lord Marnox	마군주 마르녹스 처치	Bunuh Demon Lord Marnox
QUEST_UNUSED_20151015_000836	You have collected the stones!	돌을 채취했습니다!	Telah mengumpulkan Stone!
QUEST_UNUSED_20151015_000837	You obtained nothing	아무것도 얻지 못했습니다	Tidak mendapatkan apapun juga.
QUEST_UNUSED_20151116_000838	Can you hand over the records to Wilhelmina?{nl}She told me that she will help us break Gargoyle so don't forget to get something from her when you return.	자. 방금 네가 모아 온 기록물들을 빌헬미나에게 전해 주겠어?{nl}우리가 가고일을 뚫고 들어갈 수 있도록 도와준댔으니까, 올 땐 잊지 말고 뭐라도 꼭 받아와.	Nah. Maukah kamu memberikan benda-benda catatan yang kamu kumpulkan tadi kepada Wilhelmina?{nl}Kami akan membantu agar dapat masuk menembus para Gargoyle, ketika datang janganlah lupa, datanglah membawa apapun itu.
QUEST_UNUSED_20151116_000839	So these are the samples. Now, the conditions for the deal have been fulfilled.{nl}Okay. I will make you stronger.	이게 그 샘플들이군. 이걸로 거래 조건은 충족됐어.{nl}좋아. 내가 책임지고 널 더 강하게 만들어 주지.	Ini adalah sample itu rupanya. Dengan ini syarat transaksi telah tercukupi.{nl}Bagus. Aku akan bertanggung jawab dan membuatmu lebih kuat lagi.
QUEST_UNUSED_20151116_000840	There is a problem at 36_1 of the valley area.{nl}Just put the Namott of Purification which I gave to you on the place where demonic energy is strongest.	문제가 되고 있는 곳은 협곡지대 36_1입니다.{nl}제가 드린 정화의 나모트를 마기가 강한 곳에 세우면 됩니다.	Tempat yang menjadi masalah adalah Canyon Area 36_1.{nl} Kau cukup memasang Purification Namote yang kuberikan di tempat yang memiliki Demon Energy Kuat.
QUEST_UNUSED_20151116_000841	Mardas	마르다스	Mardas
QUEST_UNUSED_20151116_000842	I... didn't expect to see someone here..{nl}	아.. 이런 곳에 사람이라니..{nl}	Ah.. Di tempat seperti ini ada orang..{nl}
QUEST_UNUSED_20151116_000843	You better run away.{nl}Lots of demons are here.{nl}	당신도 어서 도망치는 게 좋을 거예요.{nl}여긴 마족이 한가득이라고요.{nl}	Sebaiknya kamu juga melarikan diri.{nl}Disini dipenuhi oleh Demon loh.{nl}
QUEST_UNUSED_20151116_000844	A little while ago, a demon appeared at the place where there is the owl sculputre and controlling the monsters.	조금 전에도 저 위에 부엉이 조각상 있는 곳에 마족이 나타나서 몬스터를 부리고 있었다니까요?	Sebelumnya di atas sana tempat Owl Statue berada muncul Demon dan mengontrol para monster loh katanya?
QUEST_UNUSED_20151116_000845	Why there? Are you insane?{nl}They are demons.{nl}	거긴 왜요? 제정신이에요?{nl}무려 마족이라고요.{nl}	Kenapa disana? Sadarkah anda?{nl} Seluruhnya adalah Demon loh.{nl}
